size,age,p
1,18,0.0024902425592031223
1,19,0.005459377918252999
1,20,0.005746713598161052
1,21,0.007782007997509758
1,22,0.009841247036850801
1,23,0.01601896415487393
1,24,0.021574120633096282
1,25,0.021933290232981347
1,26,0.023920695352345377
1,27,0.025381318391877978
1,28,0.024040418552307066
1,29,0.02284318655269018
1,30,0.02171778847305031
1,31,0.01917965663386251
1,32,0.018078203194214975
1,33,0.016593635514690036
1,34,0.015444292795057827
1,35,0.014702008955295357
1,36,0.014654119675310683
1,37,0.014223116155448603
1,38,0.013432943035701458
1,39,0.011828652156214831
1,40,0.01173287359624548
1,41,0.012307544956061586
1,42,0.012259655676076911
1,43,0.012858271675885354
1,44,0.01079903263654431
1,45,0.01216387711610756
1,46,0.012954050235854704
1,47,0.014390728635394966
1,48,0.014007614395517563
1,49,0.013121662715801069
1,50,0.012714603835931327
1,51,0.013289275195747432
1,52,0.013145607355793405
1,53,0.013648444795632498
1,54,0.014031559035509901
1,55,0.013672389435624835
1,56,0.014342839355410291
1,57,0.014654119675310683
1,58,0.013672389435624835
1,59,0.01486962143524172
1,60,0.014702008955295357
1,61,0.013744223355601848
1,62,0.014342839355410291
1,63,0.012762493115916002
1,64,0.013169551995785744
1,65,0.01309771807580873
1,66,0.013456887675693797
1,67,0.01446256255537198
1,68,0.012834327035893016
1,69,0.012403323516030936
1,70,0.015156957115149774
1,71,0.014654119675310683
1,72,0.013001939515839379
1,73,0.012594880635969637
1,74,0.012259655676076911
1,75,0.01058353087661327
1,76,0.010559586236620932
1,77,0.011780762876230156
1,78,0.010751143356559634
1,79,0.013361109115724445
1,80,0.011445537916337428
1,81,0.011708928956253143
1,82,0.011756818236237818
1,83,0.011684984316260805
1,84,0.011349759356368077
1,85,0.011182146876421713
1,86,0.009769413116873788
1,87,0.008763738237195604
1,88,0.008500347197279889
1,89,0.00639321887795417
1,90,0.005890381438115078
1,91,0.004884706558436894
1,92,0.004118478078682087
1,93,0.0031606924789885785
1,94,0.002945190719057539
1,95,0.0019155711993870171
1,96,0.0012451212796015612
1,97,8.141177597394823e-4
1,98,5.746713598161052e-4
1,99,4.3100351986207885e-4
1,100,1.1972319996168857e-4
1,101,9.577855996935087e-5
1,102,4.7889279984675434e-5
2,18,0.004579147267826513
2,19,0.006325042881646655
2,20,0.006907008086253369
2,21,0.009556481254594462
2,22,0.011486155354079883
2,23,0.01476353834844401
2,24,0.018837294780691006
2,25,0.02240566037735849
2,26,0.023845258515069835
2,27,0.026096544964469493
2,28,0.025376745895613822
2,29,0.024105611369762314
2,30,0.022849791717716245
2,31,0.02075165400637099
2,32,0.017841827983337416
2,33,0.014227517765253614
2,34,0.012267213918157315
2,35,0.011914971820632198
2,36,0.010521318304337172
2,37,0.009908723352119578
2,38,0.008254716981132075
2,39,0.008438495466797353
2,40,0.007427713795638324
2,41,0.007534917912276403
2,42,0.00779527076696888
2,43,0.007611492281303602
2,44,0.008116883116883116
2,45,0.008698848321489832
2,46,0.008821367311933349
2,47,0.009219554030874785
2,48,0.009954667973535898
2,49,0.01061320754716981
2,50,0.01078167115902965
2,51,0.01177713795638324
2,52,0.01269603038470963
2,53,0.013568978191619702
2,54,0.014901372212692967
2,55,0.015927468757657437
2,56,0.01681573143837295
2,57,0.018270644449889732
2,58,0.018255329576084292
2,59,0.01879135015927469
2,60,0.01951114922813036
2,61,0.019266111247243322
2,62,0.021731805929919138
2,63,0.020368782161234993
2,64,0.019863391325655476
2,65,0.021027321734868903
2,66,0.02021563342318059
2,67,0.021670546434697378
2,68,0.02153271257044842
2,69,0.021747120803724578
2,70,0.021839010046557215
2,71,0.021027321734868903
2,72,0.018194070080862535
2,73,0.01750490075961774
2,74,0.015881524136241117
2,75,0.01467164910561137
2,76,0.013875275667728499
2,77,0.012527566772849792
2,78,0.012129380053908356
2,79,0.011087968635138447
2,80,0.010429429061504533
2,81,0.009158294535653026
2,82,0.008423180592991913
2,83,0.007580862533692723
2,84,0.006769174222004411
2,85,0.005758392550845381
2,86,0.004732296005880912
2,87,0.003399901984807645
2,88,0.002741362411173732
2,89,0.001853099730458221
2,90,0.0014089683901004656
2,91,0.0010107816711590297
2,92,7.657436902719922e-4
2,93,5.360205831903945e-4
2,94,3.6755697133055625e-4
2,95,1.6846361185983828e-4
2,96,1.9909335947071796e-4
2,97,7.657436902719922e-5
2,98,3.0629747610879685e-5
2,99,3.0629747610879685e-5
2,100,1.5314873805439842e-5
2,101,3.0629747610879685e-5
2,102,0
3,18,0.019413465510119784
3,19,0.02254577998072422
3,20,0.02292441140024783
3,21,0.021616411950984443
3,22,0.02412914773509569
3,23,0.02151314883656891
3,24,0.022270411675616136
3,25,0.02306209555280187
3,26,0.02168525402726146
3,27,0.01999862315847446
3,28,0.02306209555280187
3,29,0.021960622332369544
3,30,0.024886410574142915
3,31,0.027571251548946716
3,32,0.028844829960071594
3,33,0.027433567396392675
3,34,0.024473358116480794
3,35,0.025161778879250998
3,36,0.023543990086741014
3,37,0.021031254302629768
3,38,0.020377254577998074
3,39,0.019688833815227867
3,40,0.016763045573454496
3,41,0.01755472945064023
3,42,0.01738262425994768
3,43,0.015730414429299188
3,44,0.018002202946440865
3,45,0.019138097205011702
3,46,0.016728624535315983
3,47,0.01992978108219744
3,48,0.020618201844967644
3,49,0.021272201569599337
3,50,0.019413465510119784
3,51,0.021616411950984443
3,52,0.021754096103538484
3,53,0.023406305934186977
3,54,0.021960622332369544
3,55,0.02168525402726146
3,56,0.020618201844967644
3,57,0.01855293955665703
3,58,0.016728624535315983
3,59,0.01459452017072835
3,60,0.014147046674927716
3,61,0.012425994768002203
3,62,0.010154206250860526
3,63,0.009087154068566708
3,64,0.0073661021616411955
3,65,0.006849786589563541
3,66,0.005507366102161641
3,67,0.005128734682638028
3,68,0.0041993666528982515
3,69,0.003476524851989536
3,70,0.003510945890128046
3,71,0.0030290513561889026
3,72,0.002134104364587636
3,73,0.0020996833264491257
3,74,0.0020652622883106154
3,75,0.0013768415255404102
3,76,0.0016522098306484924
3,77,0.0015145256780944513
3,78,0.0012735784111248796
3,79,0.0012391573729863693
3,80,0.001067052182293818
3,81,0.0012735784111248796
3,82,8.261049153242462e-4
3,83,9.293680297397769e-4
3,84,8.949469916012667e-4
3,85,7.916838771857359e-4
3,86,7.228418009087154e-4
3,87,8.949469916012667e-4
3,88,7.572628390472257e-4
3,89,3.7863141952361283e-4
3,90,6.884207627702051e-4
3,91,3.4421038138510255e-4
3,92,3.097893432465923e-4
3,93,3.097893432465923e-4
3,94,3.097893432465923e-4
3,95,1.0326311441553078e-4
3,96,2.0652622883106156e-4
3,97,1.0326311441553078e-4
3,98,6.884207627702051e-5
3,99,1.3768415255404102e-4
3,100,0
3,101,0
3,102,0
4,18,0.030695951309870337
4,19,0.029802857898915056
