age,type,p
18,couple,0.5493994575745835
18,single parent,0.21387059279349088
18,other,0.23672994963192562
19,couple,0.47625243981782694
19,single parent,0.16070266753415746
19,other,0.3630448926480156
20,couple,0.4429209183673469
20,single parent,0.12723214285714285
20,other,0.4298469387755102
21,couple,0.41104841104841106
21,single parent,0.10573210573210573
21,other,0.4832194832194832
22,couple,0.4324009324009324
22,single parent,0.09003496503496504
22,other,0.4775641025641026
23,couple,0.4884437596302003
23,single parent,0.08782742681047766
23,other,0.423728813559322
24,couple,0.5454820187367785
24,single parent,0.0719250528860683
24,other,0.3825929283771532
25,couple,0.5976083707025411
25,single parent,0.07144992526158446
25,other,0.3309417040358744
26,couple,0.6385504529834427
26,single parent,0.05810684161199625
26,other,0.3033427054045611
27,couple,0.6863979848866498
27,single parent,0.05698992443324937
27,other,0.25661209068010077
28,couple,0.7162293488824101
28,single parent,0.050210560414642044
28,other,0.23356009070294784
29,couple,0.7352744310575636
29,single parent,0.046519410977242305
29,other,0.2182061579651941
30,couple,0.7497510786591437
30,single parent,0.054430799867241954
30,other,0.19581812147361433
31,couple,0.7690492245448416
31,single parent,0.05933917734322319
31,other,0.17161159811193527
32,couple,0.7717687074829932
32,single parent,0.06292517006802721
32,other,0.1653061224489796
33,couple,0.7778180500181225
33,single parent,0.05654222544400145
33,other,0.16563972453787604
34,couple,0.7638674884437596
34,single parent,0.07550077041602465
34,other,0.16063174114021572
35,couple,0.782093969663337
35,single parent,0.0684424713281539
35,other,0.14946355900850905
36,couple,0.7955039883973894
36,single parent,0.06272661348803481
36,other,0.14176939811457578
37,couple,0.7849544072948328
37,single parent,0.07712765957446809
37,other,0.13791793313069908
38,couple,0.787426326129666
38,single parent,0.08212180746561885
38,other,0.13045186640471512
39,couple,0.7981893625047152
39,single parent,0.07996982270841192
39,other,0.12184081478687288
40,couple,0.7859189521080638
40,single parent,0.08391322144903807
40,other,0.13016782644289807
41,couple,0.7889344262295082
41,single parent,0.0959016393442623
41,other,0.1151639344262295
42,couple,0.7867260218535006
42,single parent,0.09510319708619992
42,other,0.11817078106029948
43,couple,0.7800687285223368
43,single parent,0.11168384879725086
43,other,0.10824742268041238
44,couple,0.7762725779967159
44,single parent,0.11124794745484401
44,other,0.11247947454844007
45,couple,0.768312101910828
45,single parent,0.11703821656050956
45,other,0.11464968152866242
46,couple,0.7907830342577488
46,single parent,0.10114192495921696
46,other,0.10807504078303426
47,couple,0.776536312849162
47,single parent,0.11694599627560522
47,other,0.10651769087523277
48,couple,0.7630459992269037
48,single parent,0.12292230382682644
48,other,0.11403169694626981
49,couple,0.7710410849621061
49,single parent,0.12285600319106502
49,other,0.10610291184682888
50,couple,0.7835534725181083
50,single parent,0.11887515977844056
50,other,0.09757136770345122
51,couple,0.7726913970007893
51,single parent,0.1101026045777427
51,other,0.11720599842146803
52,couple,0.7926285945727015
52,single parent,0.09963547995139732
52,other,0.10773592547590118
53,couple,0.764967637540453
53,single parent,0.10962783171521036
53,other,0.12540453074433658
54,couple,0.7912681912681913
54,single parent,0.10478170478170479
54,other,0.10395010395010396
55,couple,0.8047008547008547
55,single parent,0.08931623931623932
55,other,0.10598290598290598
56,couple,0.8089788732394366
56,single parent,0.08450704225352113
56,other,0.10651408450704225
57,couple,0.8186738836265224
57,single parent,0.07036535859269283
57,other,0.11096075778078485
58,couple,0.83810888252149
58,single parent,0.06017191977077364
58,other,0.1017191977077364
59,couple,0.8455618265777322
59,single parent,0.06003078501795793
59,other,0.0944073884043099
60,couple,0.8497942386831275
60,single parent,0.05606995884773663
60,other,0.0941358024691358
61,couple,0.864297253634895
61,single parent,0.03338718362950996
61,other,0.10231556273559504
62,couple,0.8648363252375924
62,single parent,0.044350580781414996
62,other,0.0908130939809926
63,couple,0.8745704467353952
63,single parent,0.03837342497136312
63,other,0.08705612829324169
64,couple,0.8921212121212121
64,single parent,0.022424242424242423
64,other,0.08545454545454545
65,couple,0.8900118906064209
65,single parent,0.02497027348394768
65,other,0.0850178359096314
66,couple,0.8967904342353682
66,single parent,0.021397105097545627
66,other,0.08181246066708622
67,couple,0.901264298615292
67,single parent,0.01625526791089705
67,other,0.08248043347381095
68,couple,0.9093692590324556
68,single parent,0.020820575627679118
68,other,0.06981016533986528
69,couple,0.9213135068153655
69,single parent,0.007434944237918215
69,other,0.07125154894671623
70,couple,0.929375
70,single parent,0.013125
70,other,0.0575
71,couple,0.923679060665362
71,single parent,0.015655577299412915
71,other,0.060665362035225046
72,couple,0.9306930693069307
72,single parent,0.015232292460015232
72,other,0.05407463823305408
73,couple,0.9272727272727272
73,single parent,0.013438735177865613
73,other,0.05928853754940711
74,couple,0.9206625980819529
74,single parent,0.02005231037489102
74,other,0.05928509154315606
75,couple,0.9208015267175572
75,single parent,0.020038167938931296
75,other,0.05916030534351145
76,couple,0.9053784860557769
76,single parent,0.022908366533864542
76,other,0.07171314741035857
77,couple,0.9036144578313253
77,single parent,0.02190580503833516
77,other,0.07447973713033954
78,couple,0.919226393629124
78,single parent,0.009101251422070534
78,other,0.07167235494880546
79,couple,0.895320197044335
79,single parent,0.027093596059113302
79,other,0.07758620689655173
80,couple,0.9064558629776021
80,single parent,0.015810276679841896
80,other,0.077733860342556
81,couple,0.893740902474527
81,single parent,0.013100436681222707
81,other,0.09315866084425037
82,couple,0.8682539682539683
82,single parent,0.020634920634920634
82,other,0.1111111111111111
83,couple,0.8820422535211268
83,single parent,0.02112676056338028
83,other,0.09683098591549295
84,couple,0.8452611218568665
84,single parent,0.03288201160541586
84,other,0.1218568665377176
85,couple,0.8303571428571429
85,single parent,0.029017857142857144
85,other,0.140625
86,couple,0.7835051546391752
86,single parent,0.03608247422680412
86,other,0.18041237113402062
87,couple,0.7638888888888888
87,single parent,0.04861111111111111
87,other,0.1875
88,couple,0.7563025210084033
88,single parent,0.037815126050420166
88,other,0.20588235294117646
89,couple,0.7005988023952096
89,single parent,0.03592814371257485
89,other,0.2634730538922156
90,couple,0.6013071895424836
90,single parent,0.0392156862745098
90,other,0.35947712418300654
91,couple,0.47619047619047616
91,single parent,0.06349206349206349
91,other,0.4603174603174603
92,couple,0.5
92,single parent,0.09090909090909091
92,other,0.4090909090909091
93,couple,0.4090909090909091
93,single parent,0.12121212121212122
93,other,0.4696969696969697
94,couple,0.4489795918367347
94,single parent,0.04081632653061224
94,other,0.5102040816326531
95,couple,0.3125
95,single parent,0.03125
95,other,0.65625
96,couple,0.2777777777777778
96,single parent,0.08333333333333333
96,other,0.6388888888888888
97,couple,0.2857142857142857
97,single parent,0.14285714285714285
97,other,0.5714285714285714
98,couple,0.2222222222222222
98,single parent,0
98,other,0.7777777777777778
99,couple,0.3
99,single parent,0
99,other,0.7
100,couple,0.25
100,single parent,0
100,other,0.75
101,couple,0.25
101,single parent,0.25
101,other,0.5
102,couple,NaN
102,single parent,NaN
102,other,NaN
103,couple,0
103,single parent,0
103,other,1
104,couple,NaN
104,single parent,NaN
104,other,NaN
105,couple,NaN
105,single parent,NaN
105,other,NaN
