age,male?,p
0,true,0.0049929295927096246
1,true,0.005141320856828617
2,true,0.005001658490598977
3,true,0.004704875962360992
4,true,0.0045608491471866765
5,true,0.004713604860250345
6,true,0.0048139871859778985
7,true,0.005232974284666818
8,true,0.0053464499572284
9,true,0.00510204081632653
10,true,0.005154414203662645
11,true,0.004875089471203366
12,true,0.00473106265602905
13,true,0.004573942494020705
14,true,0.004975471796930919
15,true,0.00506712522476912
16,true,0.005075854122658473
17,true,0.005232974284666818
18,true,0.006206246399329621
19,true,0.007816728059915155
20,true,0.008061137200817026
21,true,0.00913479164120738
22,true,0.00951886314833889
23,true,0.009318098496883783
24,true,0.010265183917878529
25,true,0.010108063755870185
26,true,0.010068783715368098
27,true,0.010046961470644716
28,true,0.0094621253120581
29,true,0.009270089558492345
30,true,0.009296276252160403
31,true,0.008528133237897383
32,true,0.008611057767846231
33,true,0.008130968383931845
34,true,0.007262443043941272
35,true,0.00769452348946422
36,true,0.008000034915591557
37,true,0.007349732022834797
38,true,0.007205705207660481
39,true,0.007057313943541489
40,true,0.00672998027269077
41,true,0.006725615823746094
42,true,0.0069001937815331435
43,true,0.006612140151184512
44,true,0.006463748887065519
45,true,0.006804175904750266
46,true,0.006839091496307676
47,true,0.0078036347130811265
48,true,0.007105322881932927
49,true,0.006808540353694942
50,true,0.006546673417014368
51,true,0.007100958432988251
52,true,0.006865278189975734
53,true,0.006865278189975734
54,true,0.006489935580733576
55,true,0.006380824357116671
56,true,0.006389553255006023
57,true,0.006223704195108325
58,true,0.006140779665159477
59,true,0.00576543705591732
60,true,0.005686876974913147
61,true,0.005490476772402717
62,true,0.005307169916726314
63,true,0.0049405562053735095
64,true,0.004840173879645956
65,true,0.004875089471203366
66,true,0.004678689268692935
67,true,0.004818351634922575
68,true,0.004456102372514446
69,true,0.004587035840854734
70,true,0.004735427104973726
71,true,0.004504111310905885
72,true,0.003980377437544736
73,true,0.003914910703374592
74,true,0.0035264747472984062
75,true,0.0031249454443881917
76,true,0.0029154518950437317
77,true,0.002762696181980063
78,true,0.0026666783051971857
79,true,0.0026448560604738045
80,true,0.0022738779001763238
81,true,0.0022389623086189136
82,true,0.0018941708419894904
83,true,0.0019334508824915765
84,true,0.0017850596183725843
85,true,0.0016061172116408583
86,true,0.0013136991323475498
87,true,9.60178767828774e-4
88,true,8.859831357692778e-4
89,true,6.372095459227318e-4
90,true,5.848361585866169e-4
91,true,4.0152930291021457e-4
92,true,3.011469771826609e-4
93,true,2.531380387912222e-4
94,true,1.7021350884237357e-4
95,true,1.2220457045093486e-4
96,true,7.419563205949616e-5
97,true,5.2373387336114945e-5
98,true,1.7457795778704982e-5
