"operation","group","family","age","male"
"Aemilia",NA,1,41,TRUE
"Aemilia",NA,2,51,TRUE
"Aemilia",NA,3,47,TRUE
"Aemilia",NA,3,55,TRUE
"Aemilia",NA,3,45,TRUE
"Aemilia",NA,4,35,TRUE
"Aemilia",NA,5,35,FALSE
"Aemilia",NA,5,49,TRUE
"Aemilia",NA,6,44,TRUE
"Aemilia",NA,7,44,TRUE
"Aemilia",NA,8,56,TRUE
"Aemilia",1,9,51,TRUE
"Aemilia",NA,9,50,TRUE
"Aemilia",NA,10,51,TRUE
"Aemilia",NA,11,50,TRUE
"Aemilia",NA,12,58,TRUE
"Aemilia",NA,13,46,TRUE
"Aemilia",NA,14,44,TRUE
"Aemilia",2,15,45,TRUE
"Aemilia",2,16,51,TRUE
"Aemilia",NA,17,38,TRUE
"Aemilia",1,17,40,TRUE
"Aemilia",1,17,46,TRUE
"Aemilia",1,17,42,TRUE
"Aemilia",NA,18,37,TRUE
"Aemilia",1,19,43,TRUE
"Aemilia",NA,20,46,TRUE
"Aemilia",NA,21,44,TRUE
"Aemilia",NA,21,51,TRUE
"Aemilia",NA,22,57,TRUE
"Aemilia",NA,23,42,TRUE
"Aemilia",NA,24,61,TRUE
"Aemilia",NA,25,57,TRUE
"Aemilia",NA,26,47,TRUE
"Aemilia",NA,27,44,TRUE
"Aemilia",NA,28,53,TRUE
"Aemilia",NA,29,53,TRUE
"Aemilia",NA,30,39,TRUE
"Aemilia",NA,31,45,TRUE
"Aemilia",NA,32,49,TRUE
"Aemilia",NA,33,47,TRUE
"Aemilia",NA,33,40,TRUE
"Aemilia",NA,33,63,TRUE
"Aemilia",NA,33,38,TRUE
"Aemilia",NA,33,43,TRUE
"Aemilia",NA,33,41,TRUE
"Aemilia",NA,34,44,TRUE
"Aemilia",NA,35,54,TRUE
"Aemilia",NA,36,65,TRUE
"Aemilia",NA,37,39,TRUE
"Aemilia",3,38,47,TRUE
"Aemilia",3,38,52,TRUE
"Aemilia",2,39,53,TRUE
"Aemilia",NA,39,47,TRUE
"Aemilia",NA,40,38,TRUE
"Aemilia",NA,41,61,TRUE
"Aemilia",NA,42,45,TRUE
"Aemilia",NA,43,47,TRUE
"Aemilia",NA,43,49,TRUE
