age_mother;P_fertility1stC;P_fertility2ndC;P_fertility3rdC
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0,00012;0,00012;0
15;0,00012;0,00008;0
16;0,00235;0,00277;0
17;0,00498;0,00388;0
18;0,00657;0,00334;0,00448
19;0,01148;0,00507;0,00399
20;0,01199;0,0072;0,00424
21;0,01418;0,00943;0,00475
22;0,01763;0,01044;0,00524
23;0,02019;0,01312;0,00591
24;0,02249;0,01524;0,00619
25;0,02599;0,01783;0,00742
26;0,03202;0,02086;0,00749
27;0,03704;0,02113;0,00853
28;0,03967;0,02606;0,00944
29;0,04106;0,02942;0,01049
30;0,04459;0,03048;0,01217
31;0,04204;0,03488;0,01394
32;0,03705;0,03725;0,01335
33;0,03642;0,03703;0,01256
34;0,03057;0,03639;0,01367
35;0,02574;0,03233;0,01462
36;0,02251;0,02862;0,01416
37;0,01654;0,02569;0,01373
38;0,01278;0,02143;0,00985
39;0,01077;0,01647;0,00732
40;0,00743;0,01125;0,00603
41;0,0057;0,00698;0,00437
42;0,00347;0,00422;0,00264
43;0,00265;0,00297;0,00143
44;0,00175;0,0012;0,00057
45;0,00093;0,00077;0,00041
46;0,00059;0,00049;0,00005
47;0,00043;0,0001;0,0001
48;0,00046;0,00028;0,00008
49;0,00018;0,0001;0
50;0,00023;0,00016;0,0001
