male?,age,p
FALSE,0,0.001
FALSE,1,0.001
FALSE,2,0.001
FALSE,3,0.001
FALSE,4,0.001
FALSE,5,0.001
FALSE,6,0.001
FALSE,7,0.001
FALSE,8,0.001
FALSE,9,0.001
FALSE,10,0.001
FALSE,11,0.001
FALSE,12,0.001
FALSE,13,0.001
FALSE,14,0.026
FALSE,15,0.026
FALSE,16,0.026
FALSE,17,0.026
FALSE,18,0.056
FALSE,19,0.056
FALSE,20,0.056
FALSE,21,0.056
FALSE,22,0.056
FALSE,23,0.056
FALSE,24,0.056
FALSE,25,0.067
FALSE,26,0.067
FALSE,27,0.067
FALSE,28,0.067
FALSE,29,0.067
FALSE,30,0.067
FALSE,31,0.067
FALSE,32,0.067
FALSE,33,0.067
FALSE,34,0.067
FALSE,35,0.066
FALSE,36,0.066
FALSE,37,0.066
FALSE,38,0.066
FALSE,39,0.066
FALSE,40,0.066
FALSE,41,0.066
FALSE,42,0.066
FALSE,43,0.066
FALSE,44,0.066
FALSE,45,0.05
FALSE,46,0.05
FALSE,47,0.05
FALSE,48,0.05
FALSE,49,0.05
FALSE,50,0.05
FALSE,51,0.05
FALSE,52,0.05
FALSE,53,0.05
FALSE,54,0.05
FALSE,55,0.031
FALSE,56,0.031
FALSE,57,0.031
FALSE,58,0.031
FALSE,59,0.031
FALSE,60,0.031
FALSE,61,0.031
FALSE,62,0.031
FALSE,63,0.031
FALSE,64,0.031
FALSE,65,0.011
FALSE,66,0.011
FALSE,67,0.011
FALSE,68,0.011
FALSE,69,0.011
FALSE,70,0.011
FALSE,71,0.011
FALSE,72,0.011
FALSE,73,0.011
FALSE,74,0.011
FALSE,75,0.011
FALSE,76,0.011
FALSE,77,0.011
FALSE,78,0.011
FALSE,79,0.011
FALSE,80,0.011
FALSE,81,0.011
FALSE,82,0.011
FALSE,83,0.011
FALSE,84,0.011
FALSE,85,0.011
FALSE,86,0.011
FALSE,87,0.011
FALSE,88,0.011
FALSE,89,0.011
FALSE,90,0.011
FALSE,91,0.011
FALSE,92,0.011
FALSE,93,0.011
FALSE,94,0.011
FALSE,95,0.011
FALSE,96,0.011
FALSE,97,0.011
FALSE,98,0.011
FALSE,99,0.011
FALSE,100,0.011
FALSE,101,0.011
FALSE,102,0.011
FALSE,103,0.011
FALSE,104,0.011
FALSE,105,0.011
FALSE,106,0.011
FALSE,107,0.011
FALSE,108,0.011
FALSE,109,0.011
FALSE,110,0.011
FALSE,111,0.011
FALSE,112,0.011
FALSE,113,0.011
FALSE,114,0.011
FALSE,115,0.011
FALSE,116,0.011
FALSE,117,0.011
FALSE,118,0.011
FALSE,119,0.011
FALSE,120,0.011
FALSE,121,0.011
FALSE,122,0.011
FALSE,123,0.011
FALSE,124,0.011
FALSE,125,0.011
FALSE,126,0.011
FALSE,127,0.011
FALSE,128,0.011
FALSE,129,0.011
FALSE,130,0.011
FALSE,131,0.011
FALSE,132,0.011
FALSE,133,0.011
FALSE,134,0.011
FALSE,135,0.011
FALSE,136,0.011
FALSE,137,0.011
FALSE,138,0.011
FALSE,139,0.011
FALSE,140,0.011
FALSE,141,0.011
FALSE,142,0.011
FALSE,143,0.011
FALSE,144,0.011
FALSE,145,0.011
FALSE,146,0.011
FALSE,147,0.011
FALSE,148,0.011
FALSE,149,0.011
FALSE,150,0.011
FALSE,151,0.011
FALSE,152,0.011
FALSE,153,0.011
FALSE,154,0.011
FALSE,155,0.011
FALSE,156,0.011
FALSE,157,0.011
FALSE,158,0.011
FALSE,159,0.011
FALSE,160,0.011
FALSE,161,0.011
FALSE,162,0.011
FALSE,163,0.011
FALSE,164,0.011
FALSE,165,0.011
FALSE,166,0.011
FALSE,167,0.011
FALSE,168,0.011
FALSE,169,0.011
FALSE,170,0.011
FALSE,171,0.011
FALSE,172,0.011
FALSE,173,0.011
FALSE,174,0.011
FALSE,175,0.011
FALSE,176,0.011
FALSE,177,0.011
FALSE,178,0.011
FALSE,179,0.011
FALSE,180,0.011
FALSE,181,0.011
FALSE,182,0.011
FALSE,183,0.011
FALSE,184,0.011
FALSE,185,0.011
FALSE,186,0.011
FALSE,187,0.011
FALSE,188,0.011
FALSE,189,0.011
FALSE,190,0.011
FALSE,191,0.011
FALSE,192,0.011
FALSE,193,0.011
FALSE,194,0.011
FALSE,195,0.011
FALSE,196,0.011
FALSE,197,0.011
FALSE,198,0.011
FALSE,199,0.011
FALSE,200,0.011
TRUE,0,0.002
TRUE,1,0.002
TRUE,2,0.002
TRUE,3,0.002
TRUE,4,0.002
TRUE,5,0.002
TRUE,6,0.002
TRUE,7,0.002
TRUE,8,0.002
TRUE,9,0.002
TRUE,10,0.002
TRUE,11,0.002
TRUE,12,0.002
TRUE,13,0.002
TRUE,14,0.168
TRUE,15,0.168
TRUE,16,0.168
TRUE,17,0.168
TRUE,18,0.327
TRUE,19,0.327
TRUE,20,0.327
TRUE,21,0.327
TRUE,22,0.327
TRUE,23,0.327
TRUE,24,0.327
TRUE,25,0.32
TRUE,26,0.32
TRUE,27,0.32
TRUE,28,0.32
TRUE,29,0.32
TRUE,30,0.32
TRUE,31,0.32
TRUE,32,0.32
TRUE,33,0.32
TRUE,34,0.32
TRUE,35,0.285
TRUE,36,0.285
TRUE,37,0.285
TRUE,38,0.285
TRUE,39,0.285
TRUE,40,0.285
TRUE,41,0.285
TRUE,42,0.285
TRUE,43,0.285
TRUE,44,0.285
TRUE,45,0.204
TRUE,46,0.204
TRUE,47,0.204
TRUE,48,0.204
TRUE,49,0.204
TRUE,50,0.204
TRUE,51,0.204
TRUE,52,0.204
TRUE,53,0.204
TRUE,54,0.204
TRUE,55,0.027
TRUE,56,0.027
TRUE,57,0.027
TRUE,58,0.027
TRUE,59,0.027
TRUE,60,0.027
TRUE,61,0.027
