male?,age_from,age_to,p
FALSE,0,13,4.19095530846447e-4
TRUE,0,13,0.00220888483881099
FALSE,14,17,0.0223485080056817
TRUE,14,17,0.15015920337183
FALSE,18,24,0.0510827740184912
TRUE,18,24,0.301852378661966
FALSE,25,34,0.0634378338266472
TRUE,25,34,0.303561858487422
FALSE,35,44,0.0642953324827881
TRUE,35,44,0.275109864781256
FALSE,45,54,0.0488535842667994
TRUE,45,54,0.19961940993774
FALSE,55,64,0.0308128546507127
TRUE,55,64,0.126843825050472
FALSE,65,200,0.0111212661509359
TRUE,65,200,0.0536705333692047
