y,sex,class,rate
1,M,1,0.488888888888889
2,M,1,0.244444444444444
3,M,1,0.244444444444444
4,M,1,0.0222222222222222
1,F,1,0.542168674698795
2,F,1,0.265060240963855
3,F,1,0.156626506024096
4,F,1,0.036144578313253
1,M,2,0.317460317460317
2,M,2,0.253968253968254
3,M,2,0.380952380952381
4,M,2,0.0476190476190476
1,F,2,0.397590361445783
2,F,2,0.216867469879518
3,F,2,0.289156626506024
4,F,2,0.0963855421686747
1,M,3,0.192307692307692
2,M,3,0.298076923076923
3,M,3,0.346153846153846
4,M,3,0.163461538461538
1,F,3,0.222222222222222
2,F,3,0.353535353535354
3,F,3,0.292929292929293
4,F,3,0.131313131313131
1,M,4,0.155172413793103
2,M,4,0.258620689655172
3,M,4,0.310344827586207
4,M,4,0.275862068965517
1,F,4,0.19047619047619
2,F,4,0.238095238095238
3,F,4,0.349206349206349
4,F,4,0.222222222222222
1,M,5,2.7777777777777776E-2
2,M,5,0.16666666666666666
3,M,5,0.29166666666666669
4,M,5,0.51388888888888884
1,F,5,2.7777777777777776E-2
2,F,5,0.125
3,F,5,0.40277777777777779
4,F,5,0.44444444444444442
