wealth,gender,edu_level,rate
1,TRUE,1,0.0882352941176471
1,TRUE,2,0.558823529411765
1,TRUE,3,0.323529411764706
1,TRUE,4,0.0294117647058824
1,FALSE,1,0.09375
1,FALSE,2,0.53125
1,FALSE,3,0.3125
1,FALSE,4,0.0625
2,TRUE,1,0
2,TRUE,2,0.52
2,TRUE,3,0.4
2,TRUE,4,0.08
2,FALSE,1,0
2,FALSE,2,0.366666666666667
2,FALSE,3,0.433333333333333
2,FALSE,4,0.2
3,TRUE,1,0.0294117647058824
3,TRUE,2,0.5
3,TRUE,3,0.352941176470588
3,TRUE,4,0.117647058823529
3,FALSE,1,0.0303030303030303
3,FALSE,2,0.393939393939394
3,FALSE,3,0.333333333333333
3,FALSE,4,0.242424242424242
4,TRUE,1,0
4,TRUE,2,0.529411764705882
4,TRUE,3,0.352941176470588
4,TRUE,4,0.117647058823529
4,FALSE,1,0
4,FALSE,2,0.3125
4,FALSE,3,0.375
4,FALSE,4,0.3125
5,TRUE,1,4.5454545454545456E-2
5,TRUE,2,0.18181818181818182
5,TRUE,3,0.5
5,TRUE,4,0.27272727272727271
5,FALSE,1,0
5,FALSE,2,0.10526315789473684
5,FALSE,3,0.42105263157894735
5,FALSE,4,0.47368421052631576
