age,type,p
18,couple,0.0344827586206897
18,single,0.793103448275862
18,single_parent,0.172413793103448
19,couple,0.0260869565217391
19,single,0.834782608695652
19,single_parent,0.139130434782609
20,couple,0.0363636363636364
20,single,0.775757575757576
20,single_parent,0.187878787878788
21,couple,0.0532786885245902
21,single,0.786885245901639
21,single_parent,0.159836065573771
22,couple,0.126760563380282
22,single,0.695774647887324
22,single_parent,0.177464788732394
23,couple,0.13034188034188
23,single,0.63034188034188
23,single_parent,0.239316239316239
24,couple,0.156765676567657
24,single,0.607260726072607
24,single_parent,0.235973597359736
25,couple,0.22874251497006
25,single,0.580838323353293
25,single_parent,0.190419161676647
26,couple,0.289549376797699
26,single,0.553211888782359
26,single_parent,0.157238734419942
27,couple,0.326530612244898
27,single,0.537676609105181
27,single_parent,0.135792778649922
28,couple,0.368593955321945
28,single,0.47503285151117
28,single_parent,0.156373193166886
29,couple,0.40458869613878
29,single,0.448796866256295
29,single_parent,0.14661443760492399
30,couple,0.414210526315789
30,single,0.444736842105263
30,single_parent,0.141052631578947
31,couple,0.462360369111219
31,single,0.394851869839728
31,single_parent,0.142787761049053
32,couple,0.487135506003431
32,single,0.378644939965695
32,single_parent,0.134219554030875
33,couple,0.5
33,single,0.370022539444027
33,single_parent,0.129977460555973
34,couple,0.524649154372076
34,single,0.337531486146096
34,single_parent,0.137819359481828
35,couple,0.570027063599459
35,single,0.299391069012179
35,single_parent,0.130581867388363
36,couple,0.569584382871537
36,single,0.282430730478589
36,single_parent,0.147984886649874
37,couple,0.577987051206592
37,single,0.271924661565627
37,single_parent,0.150088287227781
38,couple,0.566136114160263
38,single,0.274972557628979
38,single_parent,0.158891328210757
39,couple,0.580653394589076
39,single,0.26059213884635
39,single_parent,0.158754466564574
40,couple,0.589206505667817
40,single,0.244701823558403
40,single_parent,0.16609167077378
41,couple,0.590396864282215
41,single,0.247427731504165
41,single_parent,0.162175404213621
42,couple,0.584622281999552
42,single,0.251737278637077
42,single_parent,0.163640439363371
43,couple,0.570197562000841
