m,f,age
0.999313,0.9993765,0
0.999313,0.9993765,1
0.999313,0.9993765,2
0.999313,0.9993765,3
0.999313,0.9993765,4
0.9994108,0.9996589,5
0.9994108,0.9996589,6
0.9994108,0.9996589,7
0.9994108,0.9996589,8
0.9994108,0.9996589,9
0.9988399,0.9996623,10
0.9988399,0.9996623,11
0.9988399,0.9996623,12
0.9988399,0.9996623,13
0.9988399,0.9996623,14
0.997994,0.9993975,15
0.997994,0.9993975,16
0.997994,0.9993975,17
0.997994,0.9993975,18
0.997994,0.9993975,19
0.9976398,0.9991673,20
0.9976398,0.9991673,21
0.9976398,0.9991673,22
0.9976398,0.9991673,23
0.9976398,0.9991673,24
0.9973671,0.9988887,25
0.9973671,0.9988887,26
0.9973671,0.9988887,27
0.9973671,0.9988887,28
0.9973671,0.9988887,29
0.9967029,0.998488,30
0.9967029,0.998488,31
0.9967029,0.998488,32
0.9967029,0.998488,33
0.9967029,0.998488,34
0.9949994,0.9968306,35
0.9949994,0.9968306,36
0.9949994,0.9968306,37
0.9949994,0.9968306,38
0.9949994,0.9968306,39
0.9922854,0.9947743,40
0.9922854,0.9947743,41
0.9922854,0.9947743,42
0.9922854,0.9947743,43
0.9922854,0.9947743,44
0.9870638,0.99147130000000006,45
0.9870638,0.99147130000000006,46
0.9870638,0.99147130000000006,47
0.9870638,0.99147130000000006,48
0.9870638,0.99147130000000006,49
0.9783291,0.9851611,50
0.9783291,0.9851611,51
0.9783291,0.9851611,52
0.9783291,0.9851611,53
0.9783291,0.9851611,54
0.9659611,0.9793134,55
0.9659611,0.9793134,56
0.9659611,0.9793134,57
0.9659611,0.9793134,58
0.9659611,0.9793134,59
0.9440772,0.9677891,60
0.9440772,0.9677891,61
0.9440772,0.9677891,62
0.9440772,0.9677891,63
0.9440772,0.9677891,64
0.9121482,0.9460945,65
0.9121482,0.9460945,66
0.9121482,0.9460945,67
0.9121482,0.9460945,68
0.9121482,0.9460945,69
0.8588842,0.9055008,70
0.8588842,0.9055008,71
0.8588842,0.9055008,72
0.8588842,0.9055008,73
0.8588842,0.9055008,74
0.7576996,0.8254764,75
0.7576996,0.8254764,76
0.7576996,0.8254764,77
0.7576996,0.8254764,78
0.7576996,0.8254764,79
0.6085214,0.6998989,80
0.6085214,0.6998989,81
0.6085214,0.6998989,82
0.6085214,0.6998989,83
0.6085214,0.6998989,84
0.4341331,0.5148807,85
0.4341331,0.5148807,86
0.4341331,0.5148807,87
0.4341331,0.5148807,88
0.4341331,0.5148807,89
0.2467092,0.3207806,90
0.2467092,0.3207806,91
0.2467092,0.3207806,92
0.2467092,0.3207806,93
0.2467092,0.3207806,94
0.0972586,0.1638119,95
0.0972586,0.1638119,96
0.0972586,0.1638119,97
0.0972586,0.1638119,98
0.0972586,0.1638119,99
0.0272685,0.0549568,100
0.0272685,0.0549568,101
0.0272685,0.0549568,102
0.0272685,0.0549568,103
0.0272685,0.0549568,104
0.0045239,0.0116186,105
0.0045239,0.0116186,106
0.0045239,0.0116186,107
0.0045239,0.0116186,108
0.0045239,0.0116186,109
4.706e-4,0.0014661,110
4.706e-4,0.0014661,111
4.706e-4,0.0014661,112
4.706e-4,0.0014661,113
4.706e-4,0.0014661,114
3.39e-5,1.139e-4,115
3.39e-5,1.139e-4,116
3.39e-5,1.139e-4,117
3.39e-5,1.139e-4,118
3.39e-5,1.139e-4,119
