age_of_head,age_of_partner,p
18,19,0.0833333333333333
19,19,0
20,19,0.0833333333333333
21,19,0.0833333333333333
22,19,0.25
23,19,0.0833333333333333
24,19,0.0833333333333333
25,19,0.166666666666667
26,19,0
27,19,0
28,19,0
29,19,0.0833333333333333
30,19,0
31,19,0
32,19,0.0833333333333333
33,19,0
34,19,0
35,19,0
36,19,0
37,19,0
38,19,0
39,19,0
40,19,0
41,19,0
42,19,0
43,19,0
44,19,0
45,19,0
46,19,0
47,19,0
48,19,0
49,19,0
50,19,0
51,19,0
52,19,0
53,19,0
54,19,0
55,19,0
56,19,0
57,19,0
58,19,0
59,19,0
60,19,0
61,19,0
62,19,0
63,19,0
64,19,0
65,19,0
66,19,0
67,19,0
68,19,0
69,19,0
70,19,0
71,19,0
72,19,0
73,19,0
74,19,0
75,19,0
76,19,0
77,19,0
78,19,0
79,19,0
80,19,0
81,19,0
82,19,0
83,19,0
84,19,0
85,19,0
86,19,0
87,19,0
88,19,0
89,19,0
90,19,0
91,19,0
92,19,0
93,19,0
94,19,0
95,19,0
96,19,0
97,19,0
98,19,0
99,19,0
100,19,0
101,19,0
102,19,0
18,20,0
19,20,0
20,20,0.0294117647058823
21,20,0.0588235294117647
22,20,0.176470588235294
23,20,0.147058823529412
24,20,0.117647058823529
25,20,0.0588235294117647
26,20,0.0882352941176471
27,20,0.0882352941176471
28,20,0.0294117647058823
29,20,0.0882352941176471
30,20,0
31,20,0
32,20,0
33,20,0
34,20,0
35,20,0.0294117647058823
36,20,0
37,20,0
38,20,0.0294117647058823
39,20,0
40,20,0
41,20,0.0294117647058823
42,20,0
43,20,0
44,20,0
45,20,0
46,20,0.0294117647058823
47,20,0
48,20,0
49,20,0
50,20,0
51,20,0
52,20,0
53,20,0
54,20,0
55,20,0
56,20,0
57,20,0
58,20,0
59,20,0
60,20,0
61,20,0
62,20,0
63,20,0
64,20,0
65,20,0
66,20,0
67,20,0
68,20,0
69,20,0
70,20,0
71,20,0
72,20,0
73,20,0
74,20,0
75,20,0
76,20,0
77,20,0
78,20,0
79,20,0
80,20,0
81,20,0
82,20,0
83,20,0
84,20,0
85,20,0
86,20,0
87,20,0
88,20,0
89,20,0
90,20,0
91,20,0
92,20,0
93,20,0
94,20,0
95,20,0
96,20,0
97,20,0
98,20,0
99,20,0
100,20,0
101,20,0
102,20,0
18,21,0
19,21,0.0350877192982456
20,21,0.0175438596491228
21,21,0.0175438596491228
22,21,0.087719298245614
23,21,0.087719298245614
24,21,0.0701754385964912
25,21,0.105263157894737
26,21,0.12280701754386
27,21,0.12280701754386
28,21,0.0701754385964912
29,21,0.12280701754386
30,21,0.0350877192982456
31,21,0.0350877192982456
32,21,0.0350877192982456
33,21,0
34,21,0
35,21,0
36,21,0.0175438596491228
37,21,0
38,21,0
39,21,0
40,21,0
41,21,0.0175438596491228
42,21,0
43,21,0
44,21,0
45,21,0
46,21,0
47,21,0
48,21,0
49,21,0
50,21,0
51,21,0
52,21,0
53,21,0
54,21,0
55,21,0
56,21,0
57,21,0
58,21,0
59,21,0
60,21,0
61,21,0
62,21,0
63,21,0
64,21,0
65,21,0
66,21,0
67,21,0
68,21,0
69,21,0
70,21,0
71,21,0
72,21,0
73,21,0
74,21,0
75,21,0
76,21,0
77,21,0
78,21,0
79,21,0
80,21,0
81,21,0
82,21,0
83,21,0
84,21,0
85,21,0
86,21,0
87,21,0
88,21,0
89,21,0
90,21,0
91,21,0
92,21,0
93,21,0
94,21,0
95,21,0
96,21,0
97,21,0
98,21,0
99,21,0
100,21,0
101,21,0
102,21,0
18,22,0
19,22,0
20,22,0
21,22,0.0206185567010309
22,22,0.0927835051546392
23,22,0.0618556701030928
24,22,0.0927835051546392
25,22,0.103092783505155
26,22,0.11340206185567
27,22,0.0927835051546392
28,22,0.0618556701030928
29,22,0.041237113402061903
30,22,0.0824742268041237
31,22,0.0824742268041237
32,22,0.0309278350515464
33,22,0.0103092783505155
34,22,0
35,22,0.0103092783505155
36,22,0.0206185567010309
37,22,0.041237113402061903
38,22,0
39,22,0.0103092783505155
40,22,0
41,22,0
42,22,0
43,22,0.0206185567010309
44,22,0
45,22,0
46,22,0
47,22,0.0103092783505155
48,22,0
49,22,0
50,22,0
51,22,0
52,22,0
53,22,0
54,22,0
55,22,0
56,22,0
57,22,0
58,22,0
59,22,0
60,22,0
61,22,0
62,22,0
63,22,0
64,22,0
65,22,0
66,22,0
67,22,0
68,22,0
69,22,0
70,22,0
71,22,0
72,22,0
73,22,0
74,22,0
75,22,0
76,22,0
77,22,0
78,22,0
79,22,0
80,22,0
81,22,0
82,22,0
83,22,0
84,22,0
85,22,0
86,22,0
87,22,0
88,22,0
89,22,0
90,22,0
91,22,0
92,22,0
93,22,0
94,22,0
95,22,0
96,22,0
97,22,0
98,22,0
99,22,0
100,22,0
101,22,0
102,22,0
18,23,0
19,23,0.00564971751412429
20,23,0.00564971751412429
21,23,0.0112994350282486
22,23,0.0169491525423729
23,23,0.0451977401129944
24,23,0.0903954802259887
25,23,0.141242937853107
26,23,0.0847457627118644
27,23,0.0847457627118644
28,23,0.141242937853107
29,23,0.0621468926553672
30,23,0.0621468926553672
31,23,0.0508474576271187
32,23,0.0451977401129944
33,23,0.0395480225988701
34,23,0.0282485875706215
35,23,0.0112994350282486
36,23,0.0112994350282486
37,23,0.0282485875706215
38,23,0.00564971751412429
39,23,0.0112994350282486
40,23,0.0112994350282486
41,23,0
42,23,0
43,23,0
44,23,0
45,23,0
46,23,0
47,23,0
48,23,0
49,23,0
50,23,0
51,23,0
52,23,0
53,23,0
54,23,0
55,23,0
56,23,0
57,23,0
58,23,0
59,23,0
60,23,0
61,23,0
62,23,0
63,23,0
64,23,0
65,23,0
66,23,0
67,23,0
68,23,0
69,23,0
70,23,0
71,23,0
72,23,0
73,23,0
74,23,0
75,23,0
76,23,0
77,23,0
78,23,0
79,23,0
80,23,0
81,23,0
82,23,0
83,23,0
84,23,0
85,23,0
86,23,0
87,23,0
88,23,0
89,23,0
90,23,0
91,23,0
92,23,0
93,23,0
94,23,0
95,23,0
96,23,0
97,23,0
98,23,0
99,23,0
100,23,0
101,23,0
102,23,0
18,24,0
19,24,0
20,24,0.00393700787401575
21,24,0.0118110236220472
22,24,0.015748031496063
23,24,0.0393700787401575
24,24,0.0354330708661417
25,24,0.0905511811023622
26,24,0.133858267716535
27,24,0.141732283464567
28,24,0.0984251968503937
29,24,0.0984251968503937
30,24,0.062992125984252
31,24,0.047244094488189
32,24,0.0551181102362205
33,24,0.0393700787401575
34,24,0.0393700787401575
35,24,0.015748031496063
36,24,0.0196850393700787
37,24,0.0196850393700787
38,24,0
39,24,0.00393700787401575
40,24,0.015748031496063
41,24,0
42,24,0.00393700787401575
43,24,0.00393700787401575
44,24,0.00393700787401575
45,24,0
46,24,0
47,24,0
48,24,0
49,24,0
50,24,0
51,24,0
52,24,0
53,24,0
54,24,0
55,24,0
56,24,0
57,24,0
58,24,0
59,24,0
60,24,0
61,24,0
62,24,0
63,24,0
64,24,0
65,24,0
66,24,0
67,24,0
68,24,0
69,24,0
70,24,0
71,24,0
72,24,0
73,24,0
74,24,0
75,24,0
76,24,0
77,24,0
78,24,0
79,24,0
80,24,0
81,24,0
82,24,0
83,24,0
84,24,0
85,24,0
86,24,0
87,24,0
88,24,0
89,24,0
90,24,0
91,24,0
92,24,0
93,24,0
94,24,0
95,24,0
96,24,0
97,24,0
98,24,0
99,24,0
100,24,0
101,24,0
102,24,0
18,25,0
19,25,0
20,25,0
21,25,0.0025
22,25,0.0075
23,25,0.0225
24,25,0.025
25,25,0.085
26,25,0.1275
27,25,0.1325
28,25,0.1225
29,25,0.0825
30,25,0.09
31,25,0.055
32,25,0.05
33,25,0.045
34,25,0.0425
35,25,0.015
36,25,0.02
37,25,0.005
38,25,0.02
39,25,0.0125
40,25,0.005
41,25,0.01
42,25,0.0075
43,25,0
44,25,0.005
45,25,0
46,25,0.0075
47,25,0
48,25,0
49,25,0
50,25,0.0025
51,25,0
52,25,0
53,25,0
54,25,0
55,25,0
56,25,0
57,25,0
58,25,0
59,25,0
60,25,0
61,25,0
62,25,0
63,25,0
64,25,0
65,25,0
66,25,0
67,25,0
68,25,0
69,25,0
70,25,0
71,25,0
72,25,0
73,25,0
74,25,0
75,25,0
76,25,0
77,25,0
78,25,0
79,25,0
80,25,0
81,25,0
82,25,0
83,25,0
84,25,0
85,25,0
86,25,0
87,25,0
88,25,0
89,25,0
90,25,0
91,25,0
92,25,0
93,25,0
94,25,0
95,25,0
96,25,0
97,25,0
98,25,0
99,25,0
100,25,0
101,25,0
102,25,0
18,26,0
19,26,0
20,26,0.00194174757281553
21,26,0
22,26,0.00970873786407767
23,26,0.0058252427184466
24,26,0.0271844660194175
25,26,0.0271844660194175
26,26,0.0932038834951456
27,26,0.116504854368932
28,26,0.132038834951456
29,26,0.135922330097087
30,26,0.100970873786408
31,26,0.0718446601941748
32,26,0.0640776699029126
33,26,0.0427184466019417
34,26,0.0427184466019417
35,26,0.0388349514563107
36,26,0.0174757281553398
37,26,0.0194174757281553
38,26,0.0116504854368932
39,26,0.0116504854368932
40,26,0.00194174757281553
41,26,0.00388349514563107
42,26,0.00776699029126214
43,26,0.0058252427184466
44,26,0.00388349514563107
45,26,0.00194174757281553
46,26,0
47,26,0
48,26,0
49,26,0
50,26,0.00194174757281553
51,26,0
52,26,0
53,26,0
54,26,0
55,26,0
56,26,0
57,26,0.00194174757281553
58,26,0
59,26,0
60,26,0
61,26,0
62,26,0
63,26,0
64,26,0
65,26,0
66,26,0
67,26,0
68,26,0
69,26,0
70,26,0
71,26,0
72,26,0
73,26,0
74,26,0
75,26,0
76,26,0
77,26,0
78,26,0
79,26,0
80,26,0
81,26,0
82,26,0
83,26,0
84,26,0
85,26,0
86,26,0
87,26,0
88,26,0
89,26,0
90,26,0
91,26,0
92,26,0
93,26,0
94,26,0
95,26,0
96,26,0
97,26,0
98,26,0
99,26,0
100,26,0
101,26,0
102,26,0
18,27,0
19,27,0
20,27,0
21,27,0
22,27,0
23,27,0.00462249614791988
24,27,0.0169491525423729
25,27,0.024653312788906
26,27,0.0462249614791988
27,27,0.0893682588597843
28,27,0.13713405238829
29,27,0.11402157164869
30,27,0.11402157164869
31,27,0.104776579352851
32,27,0.0939907550077042
33,27,0.0523882896764253
34,27,0.0585516178736518
35,27,0.0523882896764253
36,27,0.0215716486902928
37,27,0.0169491525423729
