Bilancio demografico anno 2017 e popolazione residente al 31 dicembre
Provincia: Palermo   Codice Provincia: 82
Codice Comune,Descrizione Comune,Popolazione al 1° gennaio - Maschi,Popolazione al 1° gennaio - Femmine,Popolazione al 1° gennaio - Totale,Nati - Maschi,Nati - Femmine,Nati - Totale,Morti - Maschi,Morti - Femmine,Morti - Totale,Saldo Naturale - Maschi,Saldo Naturale - Femmine,Saldo Naturale - Totale,Iscritti da altri comuni - Maschi,Iscritti da altri comuni - Femmine,Iscritti da altri comuni - Totale,Iscritti dall'estero - Maschi,Iscritti dall'estero - Femmine,Iscritti dall'estero - Totale,Altri iscritti - Maschi,Altri iscritti - Femmine,Altri iscritti - Totale,Cancellati per altri comuni - Maschi,Cancellati per altri comuni - Femmine,Cancellati per altri comuni - Totale,Cancellati per l'estero - Maschi,Cancellati per l'estero - Femmine,Cancellati per l'estero - Totale,Altri cancellati - Maschi,Altri cancellati - Femmine,Altri cancellati - Totale,Saldo Migratorio - Maschi,Saldo Migratorio - Femmine,Saldo Migratorio - Totale,Popolazione Residente in Famiglia - Maschi,Popolazione Residente in Famiglia - Femmine,Popolazione Residente in Famiglia - Totale,Popolazione Residente in Convivenza - Maschi,Popolazione Residente in Convivenza - Femmine,Popolazione Residente in Convivenza - Totale,Unità in più/meno dovute a variazioni territoriali - Maschi,Unità in più/meno dovute a variazioni territoriali - Femmine,Unità in più/meno dovute a variazioni territoriali - Totale,Popolazione al 31 dicembre - Maschi,Popolazione al 31 dicembre - Femmine,Popolazione al 31 dicembre - Totale,Numero di Famiglie,Numero di Convivenze,Numero medio di componenti per famiglia
82001,Alia,1707,1874,3581,12,13,25,26,23,49,-14,-10,-24,10,14,24,2,2,4,0,0,0,26,30,56,0,1,1,0,0,0,-14,-15,-29,1679,1849,3528,0,0,0,0,0,0,1679,1849,3528,1528,0,2.3
82002,Alimena,923,1055,1978,9,7,16,20,19,39,-11,-12,-23,11,11,22,3,6,9,1,0,1,13,10,23,0,1,1,6,2,8,-4,4,0,906,1045,1951,2,2,4,0,0,0,908,1047,1955,855,1,2.3
82003,Aliminusa,620,595,1215,4,1,5,7,6,13,-3,-5,-8,0,5,5,0,1,1,0,0,0,8,11,19,0,1,1,1,0,1,-9,-6,-15,608,584,1192,0,0,0,0,0,0,608,584,1192,497,0,2.4
82004,Altavilla Milicia,4146,4139,8285,49,34,83,32,36,68,17,-2,15,155,163,318,9,10,19,9,6,15,138,130,268,19,6,25,7,12,19,9,31,40,4159,4162,8321,13,6,19,0,0,0,4172,4168,8340,3513,18,2.4
82005,Altofonte,5031,5206,10237,45,51,96,54,45,99,-9,6,-3,131,138,269,3,4,7,3,6,9,128,155,283,5,4,9,7,2,9,-3,-13,-16,5016,5190,10206,3,9,12,0,0,0,5019,5199,10218,3837,3,2.7
82006,Bagheria,26950,28423,55373,300,212,512,274,279,553,26,-67,-41,597,635,1232,45,36,81,87,59,146,739,738,1477,94,75,169,56,42,98,-160,-125,-285,26754,28138,54892,62,93,155,0,0,0,26816,28231,55047,20674,32,2.7
82007,Balestrate,3111,3324,6435,24,27,51,40,29,69,-16,-2,-18,83,78,161,20,25,45,0,2,2,51,63,114,35,23,58,5,2,7,12,17,29,3104,3337,6441,3,2,5,0,0,0,3107,3339,6446,2744,3,2.3
82008,Baucina,987,988,1975,8,4,12,10,16,26,-2,-12,-14,11,16,27,3,2,5,0,0,0,18,24,42,0,1,1,0,0,0,-4,-7,-11,981,965,1946,0,4,4,0,0,0,981,969,1950,775,1,2.5
82009,Belmonte Mezzagno,5561,5692,11253,66,71,137,42,47,89,24,24,48,72,81,153,4,2,6,1,0,1,105,100,205,4,6,10,4,3,7,-36,-26,-62,5548,5686,11234,1,4,5,0,0,0,5549,5690,11239,3827,3,2.9
82010,Bisacquino,2212,2348,4560,23,17,40,36,31,67,-13,-14,-27,20,12,32,3,3,6,0,1,1,28,37,65,14,16,30,0,0,0,-19,-37,-56,2180,2293,4473,0,4,4,0,0,0,2180,2297,4477,1906,2,2.3
82011,Bolognetta,2061,2097,4158,20,17,37,23,20,43,-3,-3,-6,57,53,110,2,1,3,3,0,3,51,50,101,4,2,6,0,0,0,7,2,9,2056,2083,4139,9,13,22,0,0,0,2065,2096,4161,1581,7,2.6
82012,Bompietro,628,726,1354,4,3,7,8,13,21,-4,-10,-14,10,10,20,1,1,2,1,1,2,10,13,23,1,3,4,0,0,0,1,-4,-3,625,712,1337,0,0,0,0,0,0,625,712,1337,640,0,2.1
82013,Borgetto,3726,3708,7434,44,23,67,33,38,71,11,-15,-4,81,68,149,106,8,114,7,6,13,109,93,202,13,14,27,96,7,103,-24,-32,-56,3547,3654,7201,166,7,173,0,0,0,3713,3661,7374,2802,13,2.6
82014,Caccamo,4053,4130,8183,31,30,61,49,35,84,-18,-5,-23,41,31,72,22,2,24,2,0,2,35,45,80,4,5,9,30,0,30,-4,-17,-21,3947,4105,8052,84,3,87,0,0,0,4031,4108,8139,3101,8,2.6
82015,Caltavuturo,1938,2048,3986,10,18,28,30,22,52,-20,-4,-24,11,10,21,1,2,3,1,0,1,25,29,54,3,4,7,0,0,0,-15,-21,-36,1903,2018,3921,0,5,5,0,0,0,1903,2023,3926,1785,2,2.2
82016,Campofelice di Fitalia,250,264,514,1,0,1,1,4,5,0,-4,-4,3,4,7,0,0,0,0,1,1,5,15,20,0,2,2,0,0,0,-2,-12,-14,248,248,496,0,0,0,0,0,0,248,248,496,225,0,2.2
82017,Campofelice di Roccella,3693,3818,7511,16,27,43,36,39,75,-20,-12,-32,130,132,262,6,8,14,5,1,6,121,107,228,9,7,16,0,1,1,11,26,37,3679,3827,7506,5,5,10,0,0,0,3684,3832,7516,3572,6,2.1
82018,Campofiorito,650,643,1293,3,4,7,10,7,17,-7,-3,-10,9,6,15,13,2,15,3,1,4,11,13,24,1,1,2,30,0,30,-17,-5,-22,599,635,1234,27,0,27,0,0,0,626,635,1261,525,1,2.4
82019,Camporeale,1631,1663,3294,8,8,16,21,23,44,-13,-15,-28,24,24,48,2,10,12,2,1,3,36,42,78,7,4,11,2,0,2,-17,-11,-28,1600,1637,3237,1,0,1,0,0,0,1601,1637,3238,1282,1,2.5
82020,Capaci,5641,5841,11482,64,59,123,39,53,92,25,6,31,237,254,491,13,15,28,4,2,6,236,228,464,14,6,20,3,2,5,1,35,36,5667,5882,11549,0,0,0,0,0,0,5667,5882,11549,4300,0,2.7
82021,Carini,19197,19430,38627,246,209,455,151,149,300,95,60,155,741,763,1504,33,29,62,32,38,70,582,647,1229,118,93,211,25,17,42,81,73,154,19349,19538,38887,24,25,49,0,0,0,19373,19563,38936,14741,12,2.6
82022,Castelbuono,4324,4519,8843,28,22,50,74,61,135,-46,-39,-85,34,22,56,8,4,12,1,0,1,47,59,106,15,15,30,2,1,3,-21,-49,-70,4255,4422,8677,2,9,11,0,0,0,4257,4431,8688,3822,4,2.3
82023,Casteldaccia,5721,5920,11641,50,57,107,62,40,102,-12,17,5,184,159,343,14,7,21,7,3,10,148,168,316,21,16,37,4,8,12,32,-23,9,5732,5892,11624,9,22,31,0,0,0,5741,5914,11655,4585,12,2.5
82024,Castellana Sicula,1578,1761,3339,11,10,21,17,35,52,-6,-25,-31,14,13,27,5,0,5,1,0,1,24,18,42,5,2,7,4,1,5,-13,-8,-21,1552,1727,3279,7,1,8,0,0,0,1559,1728,3287,1406,2,2.3
82025,Castronovo di Sicilia,1467,1586,3053,10,8,18,24,26,50,-14,-18,-32,21,19,40,1,5,6,0,0,0,19,21,40,1,0,1,3,4,7,-1,-1,-2,1451,1563,3014,1,4,5,0,0,0,1452,1567,3019,1319,2,2.3
82026,Cefalà Diana,497,531,1028,3,5,8,4,6,10,-1,-1,-2,10,13,23,0,0,0,0,0,0,5,12,17,1,0,1,0,1,1,4,0,4,500,530,1030,0,0,0,0,0,0,500,530,1030,450,0,2.3
82027,Cefalù,6976,7334,14310,45,52,97,79,89,168,-34,-37,-71,124,147,271,18,26,44,10,2,12,116,121,237,20,11,31,0,0,0,16,43,59,6944,7336,14280,14,4,18,0,0,0,6958,7340,14298,6364,3,2.2
82028,Cerda,2564,2671,5235,18,13,31,45,35,80,-27,-22,-49,19,31,50,3,3,6,1,0,1,22,25,47,7,3,10,7,3,10,-13,3,-10,2524,2652,5176,0,0,0,0,0,0,2524,2652,5176,2033,0,2.5
82029,Chiusa Sclafani,1308,1458,2766,12,5,17,21,22,43,-9,-17,-26,21,27,48,1,2,3,0,0,0,14,12,26,2,0,2,0,0,0,6,17,23,1303,1458,2761,2,0,2,0,0,0,1305,1458,2763,1245,1,2.2
82030,Ciminna,1804,1933,3737,13,21,34,33,27,60,-20,-6,-26,15,13,28,7,7,14,1,1,2,23,21,44,5,9,14,0,0,0,-5,-9,-14,1779,1918,3697,0,0,0,0,0,0,1779,1918,3697,1549,0,2.4
82031,Cinisi,6160,6278,12438,48,62,110,55,51,106,-7,11,4,127,128,255,15,20,35,7,5,12,207,221,428,37,22,59,6,1,7,-101,-91,-192,6047,6190,12237,5,8,13,0,0,0,6052,6198,12250,4839,3,2.5
82032,Collesano,1948,2082,4030,10,23,33,27,21,48,-17,2,-15,24,22,46,14,8,22,0,0,0,22,30,52,5,6,11,0,0,0,11,-6,5,1935,2077,4012,7,1,8,0,0,0,1942,2078,4020,1925,2,2.1
82033,Contessa Entellina,856,888,1744,8,4,12,8,18,26,0,-14,-14,6,5,11,1,2,3,1,0,1,12,12,24,8,2,10,2,2,4,-14,-9,-23,840,865,1705,2,0,2,0,0,0,842,865,1707,740,1,2.3
82034,Corleone,5464,5694,11158,51,42,93,65,56,121,-14,-14,-28,41,37,78,43,13,56,2,2,4,59,54,113,6,4,10,13,4,17,8,-10,-2,5345,5645,10990,113,25,138,0,0,0,5458,5670,11128,4239,13,2.6
82035,Ficarazzi,6399,6679,13078,88,72,160,42,53,95,46,19,65,226,233,459,7,4,11,20,20,40,236,248,484,11,11,22,40,27,67,-34,-29,-63,6411,6662,13073,0,7,7,0,0,0,6411,6669,13080,4629,2,2.8
82036,Gangi,3238,3498,6736,20,17,37,50,48,98,-30,-31,-61,29,20,49,3,2,5,2,2,4,28,34,62,1,0,1,1,1,2,4,-11,-7,3198,3452,6650,14,4,18,0,0,0,3212,3456,6668,2806,5,2.4
82037,Geraci Siculo,921,950,1871,3,4,7,19,15,34,-16,-11,-27,11,9,20,27,1,28,1,0,1,14,10,24,0,1,1,48,0,48,-23,-1,-24,828,935,1763,54,3,57,0,0,0,882,938,1820,826,7,2.1
82038,Giardinello,1163,1152,2315,12,6,18,9,13,22,3,-7,-4,22,29,51,14,20,34,0,0,0,32,30,62,4,0,4,18,8,26,-18,11,-7,1112,1134,2246,36,22,58,0,0,0,1148,1156,2304,836,1,2.7
82039,Giuliana,958,946,1904,3,1,4,17,10,27,-14,-9,-23,8,6,14,0,1,1,0,0,0,9,19,28,2,1,3,4,1,5,-7,-14,-21,937,923,1860,0,0,0,0,0,0,937,923,1860,786,0,2.4
82040,Godrano,581,593,1174,4,6,10,8,9,17,-4,-3,-7,13,12,25,0,0,0,0,0,0,19,14,33,0,0,0,0,0,0,-6,-2,-8,571,588,1159,0,0,0,0,0,0,571,588,1159,430,0,2.7
82041,Gratteri,446,494,940,1,2,3,5,10,15,-4,-8,-12,9,10,19,2,0,2,0,1,1,5,9,14,0,0,0,5,5,10,1,-3,-2,443,483,926,0,0,0,0,0,0,443,483,926,459,0,2
82042,Isnello,741,784,1525,3,0,3,8,18,26,-5,-18,-23,4,3,7,50,1,51,0,0,0,8,4,12,0,0,0,1,2,3,45,-2,43,775,755,1530,6,9,15,0,0,0,781,764,1545,701,3,2.2
82043,Isola delle Femmine,3660,3625,7285,37,22,59,31,16,47,6,6,12,133,136,269,5,6,11,10,3,13,151,159,310,19,12,31,0,0,0,-22,-26,-48,3644,3605,7249,0,0,0,0,0,0,3644,3605,7249,2661,0,2.7
82044,Lascari,1739,1872,3611,20,17,37,14,19,33,6,-2,4,63,68,131,2,1,3,1,0,1,50,60,110,11,7,18,2,1,3,3,1,4,1748,1871,3619,0,0,0,0,0,0,1748,1871,3619,1619,0,2.2
82045,Lercara Friddi,3220,3609,6829,18,21,39,34,39,73,-16,-18,-34,34,38,72,5,11,16,2,0,2,42,69,111,6,2,8,0,2,2,-7,-24,-31,3178,3542,6720,19,25,44,0,0,0,3197,3567,6764,2729,8,2.5
82046,Marineo,3233,3355,6588,29,26,55,33,27,60,-4,-1,-5,47,41,88,5,4,9,1,2,3,66,59,125,8,8,16,1,0,1,-22,-20,-42,3193,3326,6519,14,8,22,0,0,0,3207,3334,6541,2577,6,2.5
82047,Mezzojuso,1433,1475,2908,11,17,28,21,22,43,-10,-5,-15,16,23,39,3,1,4,1,1,2,25,24,49,5,4,9,3,0,3,-13,-3,-16,1399,1446,2845,11,21,32,0,0,0,1410,1467,2877,1223,4,2.3
82048,Misilmeri,14486,14797,29283,150,175,325,117,120,237,33,55,88,394,400,794,11,3,14,27,33,60,374,352,726,20,19,39,49,49,98,-11,16,5,14489,14835,29324,19,33,52,0,0,0,14508,14868,29376,10600,10,2.8
82049,Monreale,19296,19891,39187,195,200,395,157,159,316,38,41,79,452,415,867,8,12,20,22,13,35,536,523,1059,30,31,61,15,6,21,-99,-120,-219,19184,19737,38921,51,75,126,0,0,0,19235,19812,39047,14502,18,2.7
82050,Montelepre,3006,3207,6213,17,21,38,37,44,81,-20,-23,-43,43,50,93,8,9,17,2,2,4,49,55,104,10,7,17,10,11,21,-16,-12,-28,2967,3147,6114,3,25,28,0,0,0,2970,3172,6142,2314,4,2.6
