NUMERO FAMIGLIE UNIPERSONALI X ETA' INTESTATARIO SCHEDA
ETA'     FAMIGLIE
3        2
5        2
6        1
9        1
11       1
13       3
14       1
15       1
17       2
18       17
19       71
20       100
21       157
22       194
23       223
24       265
25       366
26       433
27       526
28       535
29       593
30       641
31       631
32       698
33       773
34       740
35       712
36       721
37       742
38       801
39       815
40       802
41       828
42       913
43       1036
44       973
45       1050
46       1003
47       1013
48       1067
49       1061
50       1144
51       1110
52       1163
53       1250
54       1154
55       1170
56       1184
57       1100
58       1149
59       1239
60       1223
61       1183
62       1174
63       1183
64       1151
65       1190
66       1278
67       1279
68       1352
69       1416
70       1541
71       1460
72       1375
73       1405
74       1189
75       1340
76       1300
77       1501
78       1417
79       1520
80       1412
81       1246
82       1341
83       1267
84       1316
85       1176
86       1110
87       1062
88       935
89       750
90       647
91       588
92       455
93       367
94       297
95       226
96       175
97       111
98       67
99       26
100      23
101      14
102      12
103      12
104      5
105      2
