NUMERO FAMIGLIE X ETA' MADRE E NUMERO FIGLI
ETA'     FIGLI     FAMIGLIE
16       1         1
17       1         4
18       1         16
18       2         1
19       1         30
19       2         5
19       3         1
20       1         64
20       2         22
20       3         3
21       1         92
21       2         22
21       3         3
21       4         2
22       1         119
22       2         50
22       3         9
22       4         2
23       1         181
23       2         76
23       3         14
23       4         2
24       1         218
24       2         119
24       3         24
24       4         3
25       1         298
25       2         188
25       3         36
25       4         8
26       1         324
26       2         216
26       3         58
26       4         13
26       5         2
27       1         428
27       2         234
27       3         79
27       4         7
27       5         3
28       1         501
28       2         294
28       3         89
28       4         14
28       5         5
29       1         565
29       2         442
29       3         143
29       4         20
29       5         1
30       1         600
30       2         466
30       3         124
30       4         27
30       5         2
30       6         2
31       1         705
31       2         583
31       3         150
31       4         35
31       5         7
32       1         702
32       2         624
32       3         218
32       4         39
32       5         2
32       6         5
32       7         1
33       1         805
33       2         797
33       3         256
33       4         57
33       5         7
33       6         1
34       1         792
34       2         927
34       3         290
34       4         47
34       5         8
34       6         1
35       1         755
35       2         990
35       3         287
35       4         61
35       5         23
35       6         1
35       7         2
36       1         879
36       2         1129
36       3         327
36       4         69
36       5         14
36       6         2
36       7         2
36       8         1
37       1         885
37       2         1260
37       3         388
37       4         75
37       5         13
37       6         1
38       1         916
38       2         1459
38       3         442
38       4         74
38       5         13
38       6         2
38       8         1
39       1         917
39       2         1483
39       3         413
39       4         101
39       5         14
39       6         2
39       7         1
40       1         923
40       2         1544
40       3         418
40       4         96
40       5         16
40       6         5
41       1         944
41       2         1631
41       3         461
41       4         101
41       5         16
41       6         3
42       1         1002
42       2         1763
42       3         510
42       4         103
42       5         23
42       6         2
42       8         1
43       1         1055
43       2         1852
43       3         486
43       4         80
43       5         9
43       6         3
43       7         2
43       8         1
44       1         1020
44       2         1785
44       3         461
44       4         79
44       5         15
44       6         5
44       7         1
45       1         1115
45       2         1763
45       3         482
45       4         64
45       5         13
45       6         1
46       1         1144
46       2         1865
46       3         457
46       4         77
46       5         9
46       6         3
47       1         1160
47       2         1816
47       3         447
47       4         59
47       5         7
47       6         1
48       1         1336
48       2         1785
48       3         409
48       4         59
48       5         11
48       6         1
49       1         1344
49       2         1780
49       3         387
49       4         40
49       5         5
50       1         1342
50       2         1635
50       3         373
50       4         50
50       5         3
50       6         1
51       1         1459
51       2         1642
51       3         338
51       4         45
51       5         5
51       6         2
52       1         1478
52       2         1573
52       3         345
52       4         41
52       5         2
52       6         5
52       7         1
53       1         1606
53       2         1522
53       3         305
53       4         43
53       5         3
53       6         1
54       1         1617
54       2         1452
54       3         277
54       4         32
54       5         4
54       6         1
55       1         1686
55       2         1319
55       3         225
55       4         17
55       5         8
55       6         1
56       1         1616
56       2         1182
56       3         194
56       4         29
56       5         3
57       1         1630
57       2         1099
57       3         179
57       4         23
57       5         6
58       1         1632
58       2         941
58       3         156
58       4         13
59       1         1524
59       2         744
59       3         144
59       4         20
59       5         2
59       6         1
60       1         1539
60       2         724
60       3         108
60       4         17
60       5         1
61       1         1471
61       2         631
61       3         105
61       4         21
61       6         1
62       1         1367
62       2         581
62       3         86
62       4         12
62       5         4
63       1         1337
63       2         506
63       3         73
63       4         7
64       1         1296
64       2         441
64       3         68
64       4         9
65       1         1189
65       2         352
65       3         59
65       4         5
65       5         1
66       1         1157
66       2         319
66       3         29
66       4         2
67       1         1077
67       2         262
67       3         29
67       4         3
67       7         1
68       1         1085
68       2         265
68       3         23
68       4         2
68       5         1
69       1         1069
69       2         255
69       3         31
69       4         5
70       1         963
70       2         197
70       3         29
70       5         1
71       1         943
71       2         197
71       3         16
71       4         4
71       6         1
72       1         840
72       2         134
72       3         18
72       4         4
73       1         752
73       2         134
73       3         17
73       4         2
74       1         575
74       2         116
74       3         13
74       4         1
75       1         538
75       2         114
75       3         13
75       4         3
76       1         562
76       2         99
76       3         12
76       4         2
77       1         568
77       2         104
77       3         14
77       4         2
77       5         1
78       1         567
78       2         101
78       3         13
78       4         2
78       5         1
79       1         561
79       2         86
79       3         14
79       4         4
80       1         526
80       2         80
80       3         7
80       4         1
81       1         420
81       2         60
81       3         12
81       6         1
82       1         439
82       2         57
82       3         12
82       6         1
83       1         438
83       2         71
83       3         9
83       4         2
83       5         1
84       1         373
84       2         60
84       3         12
84       4         2
85       1         342
85       2         50
85       3         9
85       4         2
86       1         301
86       2         34
86       3         5
87       1         292
87       2         31
87       3         10
88       1         248
88       2         39
88       3         5
88       4         3
89       1         186
89       2         29
89       3         4
89       4         3
90       1         166
90       2         20
90       3         3
91       1         144
91       2         15
91       3         3
92       1         95
92       2         17
92       3         1
92       4         1
93       1         90
93       2         8
93       3         6
93       5         1
94       1         74
94       2         8
94       3         1
95       1         53
95       2         5
96       1         24
96       2         3
96       3         1
97       1         22
97       2         3
98       1         18
98       2         4
99       1         3
99       2         2
100      1         2
100      2         1
101      1         5
102      1         1
102      2         1
103      1         1
