"BehaviorSpace results (NetLogo 6.0.4)"
"PROTON-OC.nlogo"
"exp"
"04/23/2019 21:26:16:418 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-oc-persons","data-folder","criminal-rate","employment-rate","education-rate","law-enforcement-rate","punishment-length","[step]","o1","o2","o3","o4","o5","o6","o7a","o7b","o7c","o8a","o8b","o8c","o9a","o9b","o9c","o10a","o10b","o10c","o11","o12"
"4","20","inputs/palermo/data/","1","1","1","1","2","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 127] [0.1 327] [0.2 42] [0.3 1] [0.4 20] [0.5 10] [0.6 7] [0.7 16] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 419] [0.2 68] [0.3 41] [0.4 8] [0.5 5] [0.6 7] [0.7 2] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 15] [3 4] [4 1]]","[[1 7] [3 9] [4 1] [2 3]]","[[1 15] [2 3] [3 2]]","[[-1 55] [4 74] [2 196] [3 147] [1 43] [0 15]]","[[5 34] [3 128] [2 117] [1 195] [4 56]]","[[1 429] [3 23] [2 71] [4 7]]","[[2 211] [4 75] [3 151] [-1 55] [1 43] [0 15]]","[[4 57] [1 202] [2 120] [3 137] [5 34]]","[[1 444] [4 7] [2 74] [3 25]]","0","1"
"2","20","inputs/palermo/data/","1","1","1","1","1","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 138] [0.1 272] [0.2 85] [0.3 1] [0.4 31] [0.5 10] [0.6 4] [0.7 9] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 394] [0.2 104] [0.3 34] [0.4 11] [0.5 6] [0.6 1] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 13] [1 1] [-1 1] [4 3] [3 2]]","[[1 5] [3 9] [2 3] [5 3]]","[[1 18] [2 2]]","[[1 40] [3 167] [2 211] [-1 48] [0 15] [4 49]]","[[1 180] [3 121] [2 107] [4 69] [5 53]]","[[1 411] [2 94] [3 23] [4 2]]","[[1 41] [2 224] [3 169] [4 52] [0 15] [-1 49]]","[[2 110] [3 130] [5 56] [4 69] [1 185]]","[[1 429] [2 96] [3 23] [4 2]]","0","1"
"8","20","inputs/palermo/data/","1","1","1","2","2","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 72] [0.1 420] [0.2 26] [0.3 0] [0.4 11] [0.5 6] [0.6 5] [0.7 10] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 456] [0.2 38] [0.3 32] [0.4 18] [0.5 5] [0.6 1] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 9] [3 6] [4 4] [0 1]]","[[1 11] [2 5] [4 4]]","[[2 5] [1 14] [3 1]]","[[2 210] [0 19] [3 148] [1 32] [4 68] [-1 53]]","[[1 184] [3 156] [2 110] [4 43] [5 37]]","[[2 86] [1 419] [3 22] [4 3]]","[[2 219] [3 154] [0 20] [4 72] [-1 53] [1 32]]","[[2 115] [1 195] [4 47] [3 156] [5 37]]","[[1 433] [2 91] [3 23] [4 3]]","0","1"
"6","20","inputs/palermo/data/","1","1","1","2","1","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 123] [0.1 287] [0.2 108] [0.3 1] [0.4 12] [0.5 8] [0.6 3] [0.7 8] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 461] [0.2 26] [0.3 37] [0.4 10] [0.5 9] [0.6 5] [0.7 2] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 14] [3 4] [1 1] [4 1]]","[[4 6] [3 3] [1 8] [5 3]]","[[1 12] [2 6] [4 1] [3 1]]","[[3 150] [2 209] [-1 45] [4 71] [1 44] [0 11]]","[[5 45] [3 150] [2 126] [4 47] [1 162]]","[[1 426] [3 26] [2 72] [4 6]]","[[2 223] [4 72] [-1 45] [3 154] [1 45] [0 11]]","[[5 48] [1 170] [3 153] [2 126] [4 53]]","[[1 438] [3 27] [2 78] [4 7]]","0","1"
"3","20","inputs/palermo/data/","1","1","1","1","2","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 8] [0.1 404] [0.2 98] [0.3 0] [0.4 10] [0.5 10] [0.6 11] [0.7 9] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 435] [0.2 78] [0.3 23] [0.4 5] [0.5 7] [0.6 2] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[1 2] [4 3] [2 12] [3 3]]","[[1 11] [2 5] [4 3] [3 1]]","[[1 15] [2 5]]","[[2 199] [4 73] [0 17] [3 154] [1 38] [-1 49]]","[[2 99] [1 177] [3 156] [5 34] [4 64]]","[[1 411] [2 91] [3 19] [4 9]]","[[2 211] [1 40] [4 76] [-1 49] [3 157] [0 17]]","[[4 67] [3 157] [1 188] [2 104] [5 34]]","[[1 426] [2 96] [3 19] [4 9]]","0","1"
"7","20","inputs/palermo/data/","1","1","1","2","2","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 72] [0.1 348] [0.2 82] [0.3 0] [0.4 29] [0.5 11] [0.6 4] [0.7 4] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 475] [0.2 34] [0.3 20] [0.4 13] [0.5 6] [0.6 2] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 9] [4 3] [3 7] [1 1]]","[[3 6] [5 3] [2 6] [1 3] [4 2]]","[[1 13] [2 7]]","[[3 149] [-1 61] [2 191] [4 66] [0 16] [1 47]]","[[1 169] [5 50] [3 138] [4 53] [2 120]]","[[1 423] [2 81] [3 21] [4 5]]","[[2 200] [0 16] [3 156] [4 69] [-1 61] [1 48]]","[[3 144] [2 126] [1 172] [4 55] [5 53]]","[[1 436] [2 88] [3 21] [4 5]]","0","1"
"5","20","inputs/palermo/data/","1","1","1","2","1","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 63] [0.1 388] [0.2 66] [0.3 0] [0.4 9] [0.5 12] [0.6 4] [0.7 8] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 448] [0.2 67] [0.3 21] [0.4 3] [0.5 8] [0.6 3] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[3 8] [1 1] [2 8] [4 3]]","[[1 3] [3 11] [2 6]]","[[1 11] [2 9]]","[[4 76] [2 216] [-1 43] [3 144] [1 33] [0 18]]","[[3 100] [2 96] [1 220] [4 67] [5 47]]","[[1 398] [2 99] [3 24] [4 9]]","[[3 152] [1 34] [2 224] [4 79] [-1 43] [0 18]]","[[3 111] [2 102] [1 223] [4 67] [5 47]]","[[1 409] [2 108] [4 9] [3 24]]","0","1"
"4","20","inputs/palermo/data/","1","1","1","1","2","1","20","549","50","5","[[-1 2] [-0.9 1] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 22] [-0.4 12] [-0.3 0] [-0.2 0] [-0.1 168] [0.1 266] [0.2 19] [0.3 3] [0.4 20] [0.5 11] [0.6 7] [0.7 13] [0.8 0] [0.9 0] [1 5]]","[[0 0] [0.1 357] [0.2 95] [0.3 19] [0.4 31] [0.5 11] [0.6 4] [0.7 9] [0.8 10] [0.9 13] [1 0]]","[[2 210] [1 43] [3 151] [4 75] [-1 55] [0 15]]","[[1 202] [2 120] [3 136] [4 57] [5 34]]","[[1 444] [2 73] [3 25] [4 7]]","[[2 15] [3 4] [4 1]]","[[2 3] [1 7] [3 9] [4 1]]","[[1 15] [2 3] [3 2]]","[[2 195] [0 15] [-1 55] [3 147] [4 74] [1 43]]","[[2 117] [5 34] [3 127] [1 195] [4 56]]","[[1 429] [2 70] [3 23] [4 7]]","[[2 210] [1 43] [3 151] [4 75] [-1 55] [0 15]]","[[1 202] [2 120] [3 136] [4 57] [5 34]]","[[1 444] [2 73] [3 25] [4 7]]","0","1"
"2","20","inputs/palermo/data/","1","1","1","1","1","1","20","546","61","5","[[-1 79] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 103] [0.1 261] [0.2 42] [0.3 3] [0.4 30] [0.5 11] [0.6 4] [0.7 6] [0.8 0] [0.9 0] [1 7]]","[[0 0] [0.1 386] [0.2 109] [0.3 30] [0.4 13] [0.5 7] [0.6 1] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[[0 15] [4 52] [-1 49] [2 222] [3 167] [1 41]]","[[1 183] [3 130] [5 55] [4 69] [2 109]]","[[1 426] [3 23] [2 95] [4 2]]","[[2 13] [-1 1] [4 3] [3 2] [1 1]]","[[3 9] [1 5] [2 3] [5 3]]","[[1 18] [2 2]]","[[3 165] [1 40] [-1 48] [2 209] [4 49] [0 15]]","[[1 178] [3 121] [2 106] [5 52] [4 69]]","[[2 93] [1 408] [3 23] [4 2]]","[[0 15] [4 52] [-1 49] [2 222] [3 167] [1 41]]","[[1 183] [3 130] [5 55] [4 69] [2 109]]","[[1 426] [3 23] [2 95] [4 2]]","0","1"
"8","20","inputs/palermo/data/","1","1","1","2","2","1","24","547","51","9","[[-1 30] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 1] [-0.5 0] [-0.4 1] [-0.3 1] [-0.2 30] [-0.1 156] [0.1 267] [0.2 26] [0.3 0] [0.4 11] [0.5 8] [0.6 6] [0.7 9] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 329] [0.2 123] [0.3 25] [0.4 17] [0.5 20] [0.6 8] [0.7 5] [0.8 4] [0.9 16] [1 0]]","[[-1 53] [4 70] [2 218] [0 20] [1 32] [3 154]]","[[2 115] [3 155] [4 47] [1 194] [5 36]]","[[1 430] [3 23] [2 91] [4 3]]","[[2 12] [3 7] [4 4] [0 1]]","[[2 6] [1 13] [5 1] [4 4]]","[[1 16] [2 7] [3 1]]","[[-1 53] [3 147] [2 206] [0 19] [4 66] [1 32]]","[[2 109] [3 155] [1 181] [5 35] [4 43]]","[[1 414] [2 84] [3 22] [4 3]]","[[-1 53] [4 70] [2 218] [0 20] [1 32] [3 154]]","[[2 115] [3 155] [4 47] [1 194] [5 36]]","[[1 430] [3 23] [2 91] [4 3]]","0","1"
