age,male?,p
0,true,0.00394
1,true,0.0002
2,true,0.00013
3,true,6E-05
4,true,0.00012
5,true,0.0001
6,true,0.00013
7,true,9E-05
8,true,7E-05
9,true,9E-05
10,true,5E-05
11,true,0.00011
12,true,0.00012
13,true,0.00015
14,true,0.00018
15,true,0.00021
16,true,0.00022
17,true,0.00032
18,true,0.00033
19,true,0.00038
20,true,0.00041
21,true,0.00029
22,true,0.00031
23,true,0.00046
24,true,0.00048
25,true,0.00047
26,true,0.00045
27,true,0.00041
28,true,0.00055
29,true,0.00046
30,true,0.00045
31,true,0.00045
32,true,0.00059
33,true,0.00069
34,true,0.0004
35,true,0.00063
36,true,0.00067
37,true,0.00077
38,true,0.00075
39,true,0.00086
40,true,0.00084
41,true,0.00086
42,true,0.00107
43,true,0.00131
44,true,0.00149
45,true,0.00137
46,true,0.0016
47,true,0.0019
48,true,0.002
49,true,0.00221
50,true,0.00229
51,true,0.00251
52,true,0.003
53,true,0.00329
54,true,0.00395
55,true,0.00408
56,true,0.00425
57,true,0.00472
58,true,0.00578
59,true,0.0063
60,true,0.00717
61,true,0.00772
62,true,0.00842
63,true,0.0095
64,true,0.01023
65,true,0.01095
66,true,0.01236
67,true,0.01328
68,true,0.01461
69,true,0.01678
70,true,0.01749
71,true,0.02043
72,true,0.02327
73,true,0.02514
74,true,0.02753
75,true,0.03014
76,true,0.03459
77,true,0.03659
78,true,0.0422
79,true,0.05023
80,true,0.05626
81,true,0.06452
82,true,0.07064
83,true,0.07894
84,true,0.0929
85,true,1
0,false,0.00312
1,false,0.00024
2,false,8E-05
3,false,9E-05
4,false,7E-05
5,false,7E-05
6,false,9E-05
7,false,8E-05
8,false,5E-05
9,false,8E-05
10,false,9E-05
11,false,3E-05
12,false,7E-05
13,false,0.00012
14,false,7E-05
15,false,0.00013
16,false,0.00011
17,false,0.00018
18,false,0.00019
19,false,0.00011
20,false,0.00012
21,false,0.00015
22,false,0.0002
23,false,0.00021
24,false,0.00019
25,false,0.00016
26,false,0.00015
27,false,0.00018
28,false,0.0002
29,false,0.00022
30,false,0.00027
31,false,0.00032
32,false,0.00027
33,false,0.00035
34,false,0.00047
35,false,0.00035
36,false,0.00039
37,false,0.00049
38,false,0.00055
39,false,0.00073
40,false,0.00047
41,false,0.00076
42,false,0.00085
43,false,0.00091
44,false,0.00101
45,false,0.00094
46,false,0.00118
47,false,0.00139
48,false,0.00163
49,false,0.00171
50,false,0.00187
51,false,0.00189
52,false,0.00221
53,false,0.00251
54,false,0.00292
55,false,0.00347
56,false,0.00329
57,false,0.00374
58,false,0.00438
59,false,0.00457
60,false,0.00525
61,false,0.00564
62,false,0.00644
63,false,0.00684
64,false,0.00703
65,false,0.0074
66,false,0.00898
67,false,0.00905
68,false,0.00981
69,false,0.01072
70,false,0.01238
71,false,0.01303
72,false,0.01514
73,false,0.01621
74,false,0.01794
75,false,0.02054
76,false,0.02331
77,false,0.02539
78,false,0.02767
79,false,0.03148
80,false,0.03743
81,false,0.04261
82,false,0.04912
83,false,0.05644
84,false,0.06411
85,false,1
