age,type,p
18,couple,0.034482758620689655
18,single_parent,0.1724137931034483
19,couple,0.02608695652173913
19,single_parent,0.1391304347826087
20,couple,0.03636363636363636
20,single_parent,0.18787878787878787
21,couple,0.05327868852459016
21,single_parent,0.1598360655737705
22,couple,0.1267605633802817
22,single_parent,0.17746478873239438
23,couple,0.13034188034188035
23,single_parent,0.23931623931623933
24,couple,0.15676567656765678
24,single_parent,0.23597359735973597
25,couple,0.22874251497005987
25,single_parent,0.19041916167664671
26,couple,0.28954937679769893
26,single_parent,0.15723873441994246
27,couple,0.32653061224489793
27,single_parent,0.1357927786499215
28,couple,0.36859395532194483
28,single_parent,0.15637319316688567
29,couple,0.40458869613878007
29,single_parent,0.14661443760492446
30,couple,0.4142105263157895
30,single_parent,0.14105263157894737
31,couple,0.462360369111219
31,single_parent,0.14278776104905294
32,couple,0.48713550600343053
32,single_parent,0.1342195540308748
33,couple,0.5
33,single_parent,0.12997746055597295
34,couple,0.5246491543720763
34,single_parent,0.137819359481828
35,couple,0.5700270635994588
35,single_parent,0.13058186738836267
36,couple,0.5695843828715366
36,single_parent,0.14798488664987405
37,couple,0.5779870512065921
37,single_parent,0.15008828722778106
38,couple,0.5661361141602634
38,single_parent,0.1588913282107574
39,couple,0.580653394589076
39,single_parent,0.15875446656457376
40,couple,0.5892065056678166
40,single_parent,0.16609167077378018
41,couple,0.5903968642822146
41,single_parent,0.16217540421362078
42,couple,0.5846222819995517
42,single_parent,0.16364043936337144
43,couple,0.5701975620008407
43,single_parent,0.16813787305590586
44,couple,0.5830694532404476
44,single_parent,0.16677221870382097
45,couple,0.5754341912534003
45,single_parent,0.1638418079096045
46,couple,0.5751089972255252
46,single_parent,0.18668252080856124
47,couple,0.5777191558441559
47,single_parent,0.17167207792207792
48,couple,0.5619546247818499
48,single_parent,0.18809385301531897
49,couple,0.5776242563807331
49,single_parent,0.18096334676645556
50,couple,0.553462709284627
50,single_parent,0.18797564687975646
51,couple,0.5655224729755357
51,single_parent,0.1835767115494026
52,couple,0.566904631155043
52,single_parent,0.18103606077246934
53,couple,0.5704188932942597
53,single_parent,0.16945354249267366
54,couple,0.5792605951307485
54,single_parent,0.17132551848512173
55,couple,0.5680043580897041
55,single_parent,0.17995278736153986
56,couple,0.5798039578324394
56,single_parent,0.1583132975772147
57,couple,0.587523629489603
57,single_parent,0.1604914933837429
58,couple,0.5786495662014334
58,single_parent,0.15993964541682384
59,couple,0.5693752395553852
59,single_parent,0.15657339977002682
60,couple,0.5747520976353928
60,single_parent,0.14931350114416475
61,couple,0.5797101449275363
61,single_parent,0.14845280062671368
62,couple,0.5754531126871553
62,single_parent,0.14755713159968478
63,couple,0.5863751707983603
63,single_parent,0.13839547140347452
64,couple,0.5908454927043774
64,single_parent,0.134319408354987
65,couple,0.5795783381562629
65,single_parent,0.13414634146341464
66,couple,0.5662353666050524
66,single_parent,0.13103306633805709
67,couple,0.5797743755036261
67,single_parent,0.12288477034649477
68,couple,0.5586138613861387
68,single_parent,0.13742574257425744
69,couple,0.550019538882376
69,single_parent,0.13305978898007034
70,couple,0.5260375880971025
70,single_parent,0.13390759592795615
71,couple,0.5299419186861606
71,single_parent,0.13839375125175246
72,couple,0.5189274447949527
72,single_parent,0.13835060838215413
73,couple,0.5160213618157543
73,single_parent,0.13551401869158877
74,couple,0.48411371237458195
74,single_parent,0.1507803790412486
75,couple,0.4697452229299363
75,single_parent,0.1403927813163482
76,couple,0.4556473829201102
76,single_parent,0.14683195592286502
77,couple,0.43111337061515
77,single_parent,0.15607524148449414
78,couple,0.40989882417281925
78,single_parent,0.16762373530216024
79,couple,0.39380888290713323
79,single_parent,0.16527590847913862
80,couple,0.37095825984714875
80,single_parent,0.17577895355673134
81,couple,0.35620689655172416
81,single_parent,0.17344827586206896
82,couple,0.342
82,single_parent,0.16966666666666666
83,couple,0.3132867132867133
83,single_parent,0.2006993006993007
84,couple,0.2737471952131638
84,single_parent,0.1918474195961107
85,couple,0.28963291649858813
85,single_parent,0.19846712384025816
86,couple,0.24976700838769805
86,single_parent,0.19012115563839702
87,couple,0.2449877750611247
87,single_parent,0.19315403422982885
88,couple,0.22046353872244207
88,single_parent,0.2052006783493499
89,couple,0.2049062049062049
89,single_parent,0.20274170274170275
90,couple,0.18181818181818182
90,single_parent,0.2030008826125331
91,couple,0.15684315684315683
91,single_parent,0.21078921078921078
92,couple,0.1471747700394218
92,single_parent,0.2049934296977661
93,couple,0.14376996805111822
93,single_parent,0.2268370607028754
94,couple,0.09563409563409564
94,single_parent,0.24116424116424118
95,couple,0.06628242074927954
95,single_parent,0.2276657060518732
96,couple,0.09774436090225563
96,single_parent,0.18045112781954886
97,couple,0.08928571428571429
97,single_parent,0.18452380952380953
98,couple,0.09090909090909091
98,single_parent,0.24545454545454545
99,couple,0.15
99,single_parent,0.2
100,couple,0.0625
100,single_parent,0.1875
101,couple,0.045454545454545456
101,single_parent,0.22727272727272727
102,couple,0.058823529411764705
102,single_parent,0.23529411764705882
103,couple,0
103,single_parent,0.07142857142857142
104,couple,0
104,single_parent,0.14285714285714285
105,couple,0
105,single_parent,0
108,couple,0
108,single_parent,1
