work_status,gender,wealth,rate
1,TRUE,1,0.4
1,TRUE,2,0.216666666666667
1,TRUE,3,0.233333333333333
1,TRUE,4,0.1
1,TRUE,5,0.05
1,FALSE,1,0.238578680203046
1,FALSE,2,0.208121827411168
1,FALSE,3,0.294416243654822
1,FALSE,4,0.137055837563452
1,FALSE,5,0.121827411167513
2,TRUE,1,0.308510638297872
2,TRUE,2,0.180851063829787
2,TRUE,3,0.276595744680851
2,TRUE,4,0.148936170212766
2,TRUE,5,0.0851063829787234
2,FALSE,1,0.230769230769231
2,FALSE,2,0.230769230769231
2,FALSE,3,0.307692307692308
2,FALSE,4,0.0769230769230769
2,FALSE,5,0.153846153846154
3,TRUE,1,0.136363636363636
3,TRUE,2,0.136363636363636
3,TRUE,3,0.393939393939394
3,TRUE,4,0.121212121212121
3,TRUE,5,0.212121212121212
3,FALSE,1,0.0408163265306122
3,FALSE,2,0.163265306122449
3,FALSE,3,0.204081632653061
3,FALSE,4,0.26530612244898
3,FALSE,5,0.326530612244898
4,TRUE,1,0
4,TRUE,2,0.125
4,TRUE,3,0.15625
4,TRUE,4,0.28125
4,TRUE,5,0.4375
4,FALSE,1,0
4,FALSE,2,0.0833333333333333
4,FALSE,3,0.0833333333333333
4,FALSE,4,0.25
4,FALSE,5,0.583333333333333
5,TRUE,1,-
5,TRUE,2,-
5,TRUE,3,-
5,TRUE,4,-
5,TRUE,5,-
5,FALSE,1,-
5,FALSE,2,-
5,FALSE,3,-
5,FALSE,4,-
5,FALSE,5,-
