NUMERO FAMIGLIE X ETA' INTESTATARIO SCHEDA
ETA'     FAMIGLIE
1        1
2        1
3        2
4        1
5        3
6        1
7        1
8        2
9        3
10       6
11       2
12       1
13       4
14       2
15       1
16       2
17       4
18       29
19       115
20       165
21       244
22       355
23       468
24       606
25       835
26       1043
27       1274
28       1522
29       1787
30       1900
31       2059
32       2332
33       2662
34       2779
35       2956
36       3176
37       3398
38       3644
39       3918
40       4058
41       4082
42       4461
43       4758
44       4737
45       4779
46       5046
47       4928
48       5157
49       5211
50       5256
51       5273
52       5463
53       5801
54       5545
55       5507
56       5407
57       5290
58       5302
59       5218
60       5244
61       5106
62       5076
63       5123
64       5003
65       4838
66       4869
67       4964
68       5050
69       5118
70       5108
71       4993
72       4438
73       4494
74       3588
75       3768
76       3630
77       3934
78       3657
79       3715
80       3402
81       2900
82       3000
83       2860
84       2674
85       2479
86       2146
87       2045
88       1769
89       1386
90       1133
91       1001
92       761
93       626
94       481
95       347
96       266
97       168
98       110
99       40
100      32
101      22
102      17
103      14
104      7
105      2
108      1
