NUMERO INDIVIDUI >= 15 ANNI X ETA' E RELAZIONE PARENTELA
ETA'     RELAZIONE PARENTELA                     FAMIGLIE
15       intestatario scheda                     1
15       figlio/figlia                           6244
15       figliastro/figliastra                   17
15       fratello/sorella                        15
15       nipote                                  418
15       pronipote                               19
15       cugino/cugina                           1
15       cognato/cognata                         2
15       convivente                              99
16       intestatario scheda                     2
16       figlio/figlia                           6396
16       figliastro/figliastra                   19
16       fratello/sorella                        15
16       nipote                                  378
16       pronipote                               12
16       cugino/cugina                           4
16       cognato/cognata                         3
16       convivente                              100
17       intestatario scheda                     4
17       figlio/figlia                           6548
17       figliastro/figliastra                   13
17       fratello/sorella                        22
17       fratellastro/sorellastra                1
17       nipote                                  391
17       pronipote                               15
17       cugino/cugina                           4
17       cognato/cognata                         3
17       convivente                              101
18       intestatario scheda                     29
18       figlio/figlia                           6333
18       figliastro/figliastra                   17
18       fratello/sorella                        39
18       nipote                                  380
18       pronipote                               17
18       genero/nuora                            1
18       cognato/cognata                         3
18       convivente                              143
19       intestatario scheda                     115
19       coniuge                                 12
19       figlio/figlia                           6254
19       figliastro/figliastra                   23
19       fratello/sorella                        35
19       nipote                                  378
19       pronipote                               9
19       cugino/cugina                           2
19       genero/nuora                            3
19       cognato/cognata                         2
19       convivente                              161
20       intestatario scheda                     165
20       coniuge                                 34
20       figlio/figlia                           6374
20       figliastro/figliastra                   21
20       fratello/sorella                        53
20       nonno/nonna                             1
20       nipote                                  353
20       pronipote                               12
20       cugino/cugina                           3
20       genero/nuora                            6
20       cognato/cognata                         1
20       convivente                              202
21       intestatario scheda                     244
21       coniuge                                 57
21       figlio/figlia                           6403
21       figliastro/figliastra                   16
21       fratello/sorella                        61
21       fratellastro/sorellastra                2
21       nipote                                  393
21       pronipote                               8
21       cugino/cugina                           4
21       genero/nuora                            23
21       cognato/cognata                         5
21       convivente                              236
22       intestatario scheda                     355
22       coniuge                                 97
22       figlio/figlia                           6301
22       figliastro/figliastra                   22
22       fratello/sorella                        65
22       nonno/nonna                             1
22       nipote                                  348
22       pronipote                               7
22       cugino/cugina                           4
22       genero/nuora                            25
22       cognato/cognata                         5
22       convivente                              243
23       intestatario scheda                     468
23       coniuge                                 177
23       figlio/figlia                           6167
23       figliastro/figliastra                   13
23       fratello/sorella                        77
23       nipote                                  318
23       pronipote                               8
23       cugino/cugina                           3
23       genero/nuora                            48
23       cognato/cognata                         3
23       convivente                              271
24       intestatario scheda                     606
24       coniuge                                 254
24       figlio/figlia                           6035
24       figliastro/figliastra                   13
24       fratello/sorella                        77
24       nonno/nonna                             1
24       nipote                                  361
24       pronipote                               6
24       cugino/cugina                           6
24       genero/nuora                            56
24       cognato/cognata                         8
24       convivente                              317
25       intestatario scheda                     835
25       coniuge                                 400
25       figlio/figlia                           6149
25       figliastro/figliastra                   13
25       fratello/sorella                        75
25       fratellastro/sorellastra                2
25       nipote                                  335
25       pronipote                               8
25       cugino/cugina                           1
25       genero/nuora                            65
25       cognato/cognata                         6
25       convivente                              359
26       intestatario scheda                     1043
26       coniuge                                 515
26       figlio/figlia                           5929
26       figliastro/figliastra                   17
26       fratello/sorella                        86
26       nipote                                  297
26       pronipote                               6
26       cugino/cugina                           2
26       genero/nuora                            87
26       cognato/cognata                         11
26       convivente                              364
27       intestatario scheda                     1274
27       coniuge                                 649
27       figlio/figlia                           5460
27       figliastro/figliastra                   13
27       fratello/sorella                        87
27       nipote                                  259
27       pronipote                               4
27       cugino/cugina                           4
27       genero/nuora                            104
27       cognato/cognata                         10
27       convivente                              404
28       intestatario scheda                     1522
28       coniuge                                 848
28       figlio/figlia                           5015
28       figliastro/figliastra                   18
28       padre/madre                             1
28       fratello/sorella                        90
28       nipote                                  252
28       pronipote                               2
28       cugino/cugina                           4
28       genero/nuora                            109
28       cognato/cognata                         6
28       convivente                              415
29       intestatario scheda                     1787
29       coniuge                                 1092
29       figlio/figlia                           4535
29       figliastro/figliastra                   9
29       fratello/sorella                        89
29       nonno/nonna                             1
29       nipote                                  181
29       pronipote                               3
29       cugino/cugina                           4
29       genero/nuora                            118
29       cognato/cognata                         15
29       convivente                              405
30       intestatario scheda                     1900
30       coniuge                                 1173
30       figlio/figlia                           3916
30       figliastro/figliastra                   12
30       fratello/sorella                        77
30       nonno/nonna                             1
30       nipote                                  181
30       pronipote                               1
30       cugino/cugina                           3
30       genero/nuora                            163
30       cognato/cognata                         15
30       convivente                              407
31       intestatario scheda                     2059
31       coniuge                                 1406
31       figlio/figlia                           3385
31       figliastro/figliastra                   10
31       fratello/sorella                        80
31       nipote                                  134
31       pronipote                               3
31       cugino/cugina                           4
31       genero/nuora                            146
31       cognato/cognata                         16
31       convivente                              420
32       intestatario scheda                     2332
32       coniuge                                 1494
32       figlio/figlia                           2988
32       figliastro/figliastra                   5
32       fratello/sorella                        86
32       fratellastro/sorellastra                1
32       zio/zia                                 1
32       nipote                                  117
32       cugino/cugina                           5
32       genero/nuora                            140
32       cognato/cognata                         14
32       convivente                              463
33       intestatario scheda                     2662
33       coniuge                                 1776
33       figlio/figlia                           2882
33       figliastro/figliastra                   8
33       fratello/sorella                        80
33       fratellastro/sorellastra                1
33       nonno/nonna                             1
33       nipote                                  114
33       cugino/cugina                           4
33       genero/nuora                            179
33       cognato/cognata                         22
33       convivente                              415
34       intestatario scheda                     2779
34       coniuge                                 1908
34       figlio/figlia                           2525
34       figliastro/figliastra                   4
34       fratello/sorella                        59
34       zio/zia                                 1
34       nipote                                  110
34       cugino/cugina                           4
34       genero/nuora                            150
34       cognato/cognata                         11
34       convivente                              460
35       intestatario scheda                     2956
35       coniuge                                 1942
35       figlio/figlia                           2191
35       figliastro/figliastra                   4
35       fratello/sorella                        79
35       fratellastro/sorellastra                1
35       nipote                                  76
35       cugino/cugina                           4
35       genero/nuora                            136
35       cognato/cognata                         17
35       convivente                              382
36       intestatario scheda                     3176
36       coniuge                                 2157
36       figlio/figlia                           2050
36       figliastro/figliastra                   7
36       fratello/sorella                        66
36       nonno/nonna                             1
36       nipote                                  80
36       cugino/cugina                           5
36       suocero/suocera                         1
36       genero/nuora                            137
36       cognato/cognata                         18
36       convivente                              403
37       intestatario scheda                     3398
37       coniuge                                 2316
37       figlio/figlia                           1921
37       figliastro/figliastra                   6
37       fratello/sorella                        64
37       nonno/nonna                             1
37       nipote                                  86
37       pronipote                               1
37       cugino/cugina                           3
37       genero/nuora                            143
37       cognato/cognata                         21
37       convivente                              438
38       intestatario scheda                     3644
38       coniuge                                 2593
38       figlio/figlia                           1802
38       figliastro/figliastra                   9
38       fratello/sorella                        77
38       zio/zia                                 1
38       nipote                                  64
38       cugino/cugina                           4
38       suocero/suocera                         1
38       genero/nuora                            154
38       cognato/cognata                         23
38       convivente                              443
39       intestatario scheda                     3918
39       coniuge                                 2579
39       figlio/figlia                           1692
39       figliastro/figliastra                   3
39       padre/madre                             1
39       fratello/sorella                        79
39       zio/zia                                 1
39       nipote                                  40
39       pronipote                               1
39       cugino/cugina                           4
39       genero/nuora                            165
39       cognato/cognata                         26
39       convivente                              382
40       intestatario scheda                     4058
40       coniuge                                 2525
40       figlio/figlia                           1530
40       figliastro/figliastra                   6
