NUMERO COPPIE CONIUGI X DIFFERENZA DI ETA'
DIFFERENZA ETA'    COPPIE CONIUGI
0                  10597
1                  20663
2                  19518
3                  17908
4                  15484
5                  12726
6                  9956
7                  7384
8                  5556
9                  3933
10                 2740
11                 1901
12                 1228
13                 908
14                 599
15                 435
16                 306
17                 251
18                 166
19                 138
20                 97
21                 83
22                 51
23                 53
24                 25
25                 34
26                 26
27                 14
28                 14
29                 15
30                 7
31                 8
32                 13
33                 1
34                 6
35                 1
36                 5
37                 2
39                 2
40                 2
41                 2
43                 1
44                 2
45                 1
49                 1
54                 1
55                 1
