child_number,age_of_mother,age_of_child,p
1,16,0,1
1,17,0,0.25
1,17,1,0.5
1,17,2,0.25
1,18,0,0.375
1,18,1,0.3125
1,18,2,0.125
1,18,3,0.1875
1,19,0,0.4
1,19,1,0.366666666666667
1,19,2,0.166666666666667
1,19,3,0.0666666666666667
1,20,0,0.328125
1,20,1,0.296875
1,20,2,0.21875
1,20,3,0.078125
1,20,4,0.046875
1,20,5,0.03125
1,21,0,0.206521739130435
1,21,1,0.33695652173913
1,21,2,0.108695652173913
1,21,3,0.16304347826087
1,21,4,0.0978260869565217
1,21,5,0.0652173913043478
1,21,6,0.0108695652173913
1,21,7,0.0108695652173913
1,22,0,0.294117647058824
1,22,1,0.252100840336134
1,22,2,0.176470588235294
1,22,3,0.151260504201681
1,22,4,0.0840336134453782
1,22,5,0.0168067226890756
1,22,6,0.0168067226890756
1,22,7,0.00840336134453781
1,23,0,0.25414364640884
1,23,1,0.198895027624309
1,23,2,0.18232044198895
1,23,3,0.12707182320442
1,23,4,0.12707182320442
1,23,5,0.0607734806629834
1,23,6,0.0331491712707182
1,23,7,0.0110497237569061
1,23,8,0.00552486187845304
1,24,0,0.23394495412844
1,24,1,0.188073394495413
1,24,2,0.165137614678899
1,24,3,0.137614678899083
1,24,4,0.119266055045872
1,24,5,0.0825688073394495
1,24,6,0.0412844036697248
1,24,7,0.0137614678899083
1,24,8,0.018348623853211
1,25,0,0.258389261744966
1,25,1,0.184563758389262
1,25,2,0.171140939597315
1,25,3,0.134228187919463
1,25,4,0.0671140939597315
1,25,5,0.063758389261745
1,25,6,0.0570469798657718
1,25,7,0.0302013422818792
1,25,8,0.0201342281879195
1,25,9,0.0100671140939597
1,25,10,0.00335570469798658
1,26,0,0.185185185185185
1,26,1,0.262345679012346
1,26,2,0.154320987654321
1,26,3,0.114197530864198
1,26,4,0.108024691358025
1,26,5,0.0648148148148148
1,26,6,0.0462962962962963
1,26,7,0.0308641975308642
1,26,8,0.0185185185185185
1,26,9,0.00617283950617284
1,26,10,0.00617283950617284
1,26,11,0.00308641975308642
1,27,0,0.254672897196262
1,27,1,0.184579439252336
1,27,2,0.170560747663551
1,27,3,0.14018691588785
1,27,4,0.0817757009345794
1,27,5,0.0607476635514019
1,27,6,0.0373831775700935
1,27,7,0.0186915887850467
1,27,8,0.0257009345794393
1,27,9,0.014018691588785
1,27,10,0.00700934579439252
1,27,11,0.00467289719626168
1,28,0,0.243512974051896
1,28,1,0.209580838323353
1,28,2,0.155688622754491
1,28,3,0.109780439121756
1,28,4,0.0858283433133733
1,28,5,0.0518962075848303
1,28,6,0.0598802395209581
1,28,7,0.0219560878243513
1,28,8,0.0279441117764471
1,28,9,0.0199600798403194
1,28,10,0.00998003992015968
1,28,11,0.00199600798403194
1,28,12,0.00199600798403194
1,29,0,0.2
1,29,1,0.208849557522124
1,29,2,0.15929203539823
1,29,3,0.143362831858407
1,29,4,0.0707964601769911
1,29,5,0.0584070796460177
1,29,6,0.0424778761061947
1,29,7,0.031858407079646
1,29,8,0.031858407079646
1,29,9,0.0212389380530973
1,29,10,0.0106194690265487
1,29,11,0.00176991150442478
1,29,12,0.00884955752212389
1,29,13,0.0106194690265487
1,30,0,0.203333333333333
1,30,1,0.205
1,30,2,0.168333333333333
1,30,3,0.133333333333333
1,30,4,0.085
1,30,5,0.065
1,30,6,0.0383333333333333
1,30,7,0.035
1,30,8,0.0216666666666667
1,30,9,0.0166666666666667
1,30,10,0.0116666666666667
1,30,11,0.00666666666666667
1,30,12,0.00666666666666667
1,30,13,0.00166666666666667
1,30,14,0.00166666666666667
1,31,0,0.173049645390071
1,31,1,0.187234042553191
1,31,2,0.168794326241135
1,31,3,0.120567375886525
1,31,4,0.0978723404255319
1,31,5,0.0695035460992908
1,31,6,0.0425531914893617
1,31,7,0.0326241134751773
1,31,8,0.0269503546099291
1,31,9,0.0198581560283688
1,31,10,0.0198581560283688
1,31,11,0.0099290780141844
1,31,12,0.0127659574468085
1,31,13,0.0099290780141844
1,31,14,0.00709219858156028
1,31,15,0.00141843971631206
1,32,0,0.162393162393162
1,32,1,0.189458689458689
1,32,2,0.156695156695157
1,32,3,0.148148148148148
1,32,4,0.0783475783475783
1,32,5,0.0726495726495727
1,32,6,0.0427350427350427
1,32,7,0.0313390313390313
1,32,8,0.0213675213675214
1,32,9,0.0256410256410256
1,32,10,0.0227920227920228
1,32,11,0.0113960113960114
1,32,12,0.00997150997150997
1,32,13,0.0128205128205128
1,32,14,0.0056980056980057
1,32,15,0.00712250712250712
1,32,16,0.00142450142450142
1,33,0,0.13416149068323
1,33,1,0.175155279503106
1,33,2,0.17639751552795
1,33,3,0.121739130434783
1,33,4,0.11055900621118
1,33,5,0.0757763975155279
1,33,6,0.0397515527950311
1,33,7,0.0447204968944099
1,33,8,0.0335403726708075
1,33,9,0.0260869565217391
1,33,10,0.0173913043478261
1,33,11,0.00372670807453416
1,33,12,0.00869565217391304
1,33,13,0.0111801242236025
1,33,14,0.0062111801242236
1,33,15,0.0062111801242236
1,33,16,0.0062111801242236
1,33,17,0.00124223602484472
1,33,18,0.00124223602484472
1,34,0,0.162878787878788
1,34,1,0.156565656565657
1,34,2,0.138888888888889
1,34,3,0.113636363636364
1,34,4,0.0845959595959596
1,34,5,0.0757575757575758
1,34,6,0.053030303030303
1,34,7,0.0542929292929293
1,34,8,0.0454545454545455
1,34,9,0.0252525252525253
1,34,10,0.0265151515151515
1,34,11,0.0214646464646465
1,34,12,0.0101010101010101
1,34,13,0.0113636363636364
1,34,14,0.0101010101010101
1,34,15,0.00505050505050505
1,34,16,0.00126262626262626
1,34,17,0.00126262626262626
1,34,18,0.00126262626262626
1,34,25,0.00126262626262626
1,35,0,0.128476821192053
1,35,1,0.129801324503311
1,35,2,0.129801324503311
1,35,3,0.108609271523179
1,35,4,0.11523178807947
1,35,5,0.0741721854304636
1,35,6,0.0701986754966887
1,35,7,0.0649006622516556
1,35,8,0.0357615894039735
1,35,9,0.033112582781457
1,35,10,0.0198675496688742
1,35,11,0.0225165562913907
1,35,12,0.0198675496688742
1,35,13,0.0158940397350993
1,35,14,0.00794701986754967
1,35,15,0.00794701986754967
1,35,16,0.00529801324503311
1,35,17,0.00529801324503311
1,35,18,0.00132450331125828
1,35,20,0.00397350993377483
1,36,0,0.119453924914676
1,36,1,0.0955631399317406
