size,level,rate
1,2,341
1,3,540
1,4,4
2,2,3717
2,3,3343
2,4,9
3,2,12104
4,2,12104
5,2,12104
3,3,7183
4,3,7183
5,3,7183
3,4,31
4,4,31
5,4,31
6,2,9694
7,2,9694
8,2,9694
9,2,9694
6,3,5200
7,3,5200
8,3,5200
9,3,5200
6,4,41
7,4,41
8,4,41
9,4,41
10,2,8186
11,2,8186
12,2,8186
13,2,8186
14,2,8186
15,2,8186
10,3,4510
11,3,4510
12,3,4510
13,3,4510
14,3,4510
15,3,4510
10,4,52
11,4,52
12,4,52
13,4,52
14,4,52
15,4,52
16,2,2776
17,2,2776
18,2,2776
19,2,2776
16,3,1386
17,3,1386
18,3,1386
19,3,1386
16,4,21
17,4,21
18,4,21
19,4,21
20,2,8356
21,2,8356
22,2,8356
23,2,8356
24,2,8356
25,2,8356
26,2,8356
27,2,8356
28,2,8356
29,2,8356
30,2,8356
31,2,8356
32,2,8356
33,2,8356
34,2,8356
35,2,8356
36,2,8356
37,2,8356
38,2,8356
39,2,8356
40,2,8356
41,2,8356
42,2,8356
43,2,8356
44,2,8356
45,2,8356
46,2,8356
47,2,8356
48,2,8356
49,2,8356
20,3,4536
21,3,4536
22,3,4536
23,3,4536
24,3,4536
25,3,4536
26,3,4536
27,3,4536
28,3,4536
29,3,4536
30,3,4536
31,3,4536
32,3,4536
33,3,4536
34,3,4536
35,3,4536
36,3,4536
37,3,4536
38,3,4536
39,3,4536
40,3,4536
41,3,4536
42,3,4536
43,3,4536
44,3,4536
45,3,4536
46,3,4536
47,3,4536
48,3,4536
49,3,4536
20,4,127
21,4,127
22,4,127
23,4,127
24,4,127
25,4,127
26,4,127
27,4,127
28,4,127
29,4,127
30,4,127
31,4,127
32,4,127
33,4,127
34,4,127
35,4,127
36,4,127
37,4,127
38,4,127
39,4,127
40,4,127
41,4,127
42,4,127
43,4,127
44,4,127
45,4,127
46,4,127
47,4,127
48,4,127
49,4,127
50,2,4055
51,2,4055
52,2,4055
53,2,4055
54,2,4055
55,2,4055
56,2,4055
57,2,4055
58,2,4055
59,2,4055
60,2,4055
61,2,4055
62,2,4055
63,2,4055
64,2,4055
65,2,4055
66,2,4055
67,2,4055
68,2,4055
69,2,4055
70,2,4055
71,2,4055
72,2,4055
73,2,4055
74,2,4055
75,2,4055
76,2,4055
77,2,4055
78,2,4055
79,2,4055
80,2,4055
81,2,4055
82,2,4055
83,2,4055
84,2,4055
85,2,4055
86,2,4055
87,2,4055
88,2,4055
89,2,4055
90,2,4055
91,2,4055
92,2,4055
93,2,4055
94,2,4055
95,2,4055
96,2,4055
97,2,4055
98,2,4055
99,2,4055
50,3,2468
51,3,2468
52,3,2468
53,3,2468
54,3,2468
55,3,2468
56,3,2468
57,3,2468
58,3,2468
59,3,2468
60,3,2468
61,3,2468
62,3,2468
63,3,2468
64,3,2468
65,3,2468
66,3,2468
67,3,2468
68,3,2468
69,3,2468
