"BehaviorSpace results (NetLogo 6.0.4)"
"PROTON-OC.nlogo"
"exp"
"05/09/2019 10:52:19:511 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","intervention","num-oc-persons","data-folder","criminal-rate","employment-rate","education-rate","law-enforcement-rate","punishment-length","num-oc-families","num-persons","welfare-support","output?","OC-members-per-tick","intervention-start","social-support","view-crim?","intervention-end","nat-propensity-threshold","oc-embeddedness-radius","threshold-use-facilitators","ticks-per-year","percentage-of-facilitators","nat-propensity-sigma","targets-addressed-percent","probability-of-getting-caught","OC-arrest-multiplier","nat-propensity-m","OC-members-scrutinize?","punishment-length","family-intervention","max-accomplice-radius","ticks-between-intervention","OC-members-repression?","retirement-age","[step]","o1","o2","o3","o4","o5","o6","o7a","o7b","o7c","o8a","o8b","o8c","o9a","o9b","o9c","o10a","o10b","o10c","o11","o12"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 11] [-0.3 4] [-0.2 0] [-0.1 7] [0.1 125] [0.2 37] [0.3 1] [0.4 2] [0.5 2] [0.6 8] [0.7 2] [0.8 1] [0.9 0] [1 0]]","[[0 0] [0.1 101] [0.2 18] [0.3 35] [0.4 33] [0.5 9] [0.6 4] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 6] [4 5] [3 9]]","[[2 8] [1 5] [3 7]]","[[2 5] [1 14] [3 1]]","[[4 42] [2 40] [-1 20] [3 52] [1 16] [0 10]]","[[1 64] [2 52] [5 9] [3 38] [4 17]]","[[3 16] [1 141] [4 2] [2 21]]","[[2 46] [3 61] [4 47] [1 16] [-1 20] [0 10]]","[[4 17] [2 60] [3 45] [1 69] [5 9]]","[[2 26] [1 155] [3 17] [4 2]]","0","1"
"4","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 41] [0.1 99] [0.2 22] [0.3 1] [0.4 7] [0.5 6] [0.6 16] [0.7 8] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 85] [0.2 48] [0.3 38] [0.4 16] [0.5 9] [0.6 3] [0.7 1] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 8] [-1 1] [4 8] [3 3]]","[[1 10] [3 6] [5 4]]","[[1 17] [2 3]]","[[3 50] [2 44] [4 45] [1 15] [0 7] [-1 19]]","[[2 22] [3 49] [4 18] [1 74] [5 17]]","[[1 140] [2 24] [4 7] [3 9]]","[[4 53] [1 15] [2 52] [3 53] [-1 20] [0 7]]","[[1 84] [4 18] [2 22] [3 55] [5 21]]","[[1 157] [3 9] [2 27] [4 7]]","0","1"
"1","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 127] [0.2 38] [0.3 8] [0.4 10] [0.5 4] [0.6 3] [0.7 1] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 76] [0.2 47] [0.3 52] [0.4 20] [0.5 5] [0.6 0] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[2 9] [1 1] [3 5] [4 5]]","[[1 7] [5 6] [2 6] [4 1]]","[[1 14] [4 2] [2 4]]","[[3 54] [1 11] [-1 12] [4 56] [2 43] [0 4]]","[[4 16] [1 63] [2 31] [5 31] [3 39]]","[[2 32] [1 125] [3 19] [4 4]]","[[3 59] [2 52] [-1 12] [4 61] [0 4] [1 12]]","[[2 37] [3 39] [1 70] [4 17] [5 37]]","[[1 139] [2 36] [3 19] [4 6]]","0","1"
"2","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","0","20","0","0","0","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 6] [-0.5 0] [-0.4 2] [-0.3 0] [-0.2 0] [-0.1 16] [0.1 126] [0.2 32] [0.3 1] [0.4 3] [0.5 4] [0.6 2] [0.7 7] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 71] [0.2 49] [0.3 39] [0.4 29] [0.5 10] [0.6 2] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[]","[]","[]","[[3 6] [1 3] [4 4] [2 7]]","[[2 12] [1 8]]","[[1 17] [2 1] [3 2]]","[[3 53] [4 50] [2 41] [0 10] [-1 20] [1 6]]","[[1 65] [4 29] [5 16] [3 46] [2 24]]","[[1 150] [2 21] [3 8] [4 1]]","[[4 54] [3 59] [2 48] [0 10] [-1 20] [1 9]]","[[2 36] [1 73] [3 46] [5 16] [4 29]]","[[1 167] [2 22] [3 10] [4 1]]","0","1"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","1","20","199","6","1","[[-1 18] [-0.9 0] [-0.8 6] [-0.7 5] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 7] [0.1 121] [0.2 18] [0.3 4] [0.4 2] [0.5 6] [0.6 8] [0.7 2] [0.8 0] [0.9 0] [1 2]]","[[0 0] [0.1 92] [0.2 13] [0.3 12] [0.4 30] [0.5 16] [0.6 26] [0.7 9] [0.8 1] [0.9 0] [1 0]]","[[2 45] [0 10] [4 47] [-1 20] [1 16] [3 61]]","[[1 68] [2 60] [3 45] [5 9] [4 17]]","[[1 155] [2 26] [3 16] [4 2]]","[[3 9] [2 6] [4 5]]","[[3 7] [2 8] [1 5]]","[[2 5] [1 14] [3 1]]","[[2 39] [4 42] [3 52] [-1 20] [0 10] [1 16]]","[[3 38] [1 63] [2 52] [5 9] [4 17]]","[[2 21] [1 141] [3 15] [4 2]]","[[2 45] [0 10] [4 47] [-1 20] [1 16] [3 61]]","[[1 68] [2 60] [3 45] [5 9] [4 17]]","[[1 155] [2 26] [3 16] [4 2]]","0","1"
"2","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","1","20","198","6","1","[[-1 9] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 15] [0.1 121] [0.2 28] [0.3 2] [0.4 2] [0.5 6] [0.6 3] [0.7 7] [0.8 0] [0.9 0] [1 5]]","[[0 0] [0.1 62] [0.2 32] [0.3 35] [0.4 15] [0.5 24] [0.6 27] [0.7 2] [0.8 1] [0.9 0] [1 0]]","[[2 48] [-1 20] [1 9] [3 57] [4 54] [0 10]]","[[2 35] [4 29] [1 72] [5 16] [3 46]]","[[1 165] [2 22] [3 10] [4 1]]","[[2 7] [3 6] [4 4] [1 3]]","[[2 12] [1 8]]","[[1 17] [2 1] [3 2]]","[[3 51] [4 50] [0 10] [-1 20] [2 41] [1 6]]","[[3 46] [1 64] [4 29] [2 23] [5 16]]","[[1 148] [2 21] [3 8] [4 1]]","[[2 48] [-1 20] [1 9] [3 57] [4 54] [0 10]]","[[2 35] [4 29] [1 72] [5 16] [3 46]]","[[1 165] [2 22] [3 10] [4 1]]","0","1"
"1","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","1","20","198","9","0","[[-1 35] [-0.9 1] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 87] [0.2 31] [0.3 10] [0.4 8] [0.5 8] [0.6 5] [0.7 0] [0.8 0] [0.9 0] [1 4]]","[[0 0] [0.1 63] [0.2 36] [0.3 31] [0.4 22] [0.5 18] [0.6 11] [0.7 16] [0.8 1] [0.9 0] [1 0]]","[[3 58] [2 52] [1 12] [4 60] [0 4] [-1 12]]","[[5 37] [1 70] [4 17] [2 37] [3 37]]","[[1 138] [2 36] [3 18] [4 6]]","[[4 5] [3 5] [2 9] [1 1]]","[[5 6] [1 7] [4 1] [2 6]]","[[4 2] [1 14] [2 4]]","[[3 53] [2 43] [4 55] [-1 12] [1 11] [0 4]]","[[3 37] [1 63] [4 16] [2 31] [5 31]]","[[1 124] [3 18] [2 32] [4 4]]","[[3 58] [2 52] [1 12] [4 60] [0 4] [-1 12]]","[[5 37] [1 70] [4 17] [2 37] [3 37]]","[[1 138] [2 36] [3 18] [4 6]]","1","1"
"4","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","1","20","199","9","5","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 41] [0.1 98] [0.2 19] [0.3 1] [0.4 7] [0.5 6] [0.6 15] [0.7 6] [0.8 0] [0.9 0] [1 6]]","[[0 0] [0.1 84] [0.2 47] [0.3 38] [0.4 15] [0.5 10] [0.6 3] [0.7 2] [0.8 0] [0.9 0] [1 0]]","[[3 52] [2 52] [4 53] [0 7] [1 15] [-1 20]]","[[5 21] [3 54] [1 84] [2 22] [4 18]]","[[1 156] [4 7] [2 27] [3 9]]","[[-1 1] [3 3] [4 8] [2 8]]","[[1 10] [5 4] [3 6]]","[[1 17] [2 3]]","[[4 45] [3 49] [2 44] [1 15] [0 7] [-1 19]]","[[1 74] [3 48] [5 17] [4 18] [2 22]]","[[1 139] [2 24] [3 9] [4 7]]","[[3 52] [2 52] [4 53] [0 7] [1 15] [-1 20]]","[[5 21] [3 54] [1 84] [2 22] [4 18]]","[[1 156] [4 7] [2 27] [3 9]]","0","1"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","2","20","1","12","2","[[-1 21] [-0.9 0] [-0.8 7] [-0.7 6] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 123] [0.2 16] [0.3 3] [0.4 0] [0.5 5] [0.6 7] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 94] [0.2 10] [0.3 13] [0.4 24] [0.5 18] [0.6 12] [0.7 16] [0.8 10] [0.9 0] [1 0]]","[[3 1]]","[[2 1]]","[[1 1]]","[[3 9] [2 6] [4 5]]","[[1 5] [3 7] [2 8]]","[[1 14] [2 5] [3 1]]","[[3 52] [4 42] [2 37] [-1 20] [0 10] [1 16]]","[[2 51] [4 17] [1 63] [3 37] [5 9]]","[[1 140] [2 20] [3 15] [4 2]]","[[2 43] [3 61] [4 47] [1 16] [-1 20] [0 10]]","[[2 59] [1 68] [3 44] [4 17] [5 9]]","[[1 154] [2 25] [3 16] [4 2]]","0","1"
"2","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","2","20","1","12","2","[[-1 12] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 16] [0.1 128] [0.2 22] [0.3 2] [0.4 1] [0.5 5] [0.6 1] [0.7 7] [0.8 0] [0.9 0] [1 3]]","[[0 0] [0.1 57] [0.2 32] [0.3 36] [0.4 18] [0.5 20] [0.6 11] [0.7 22] [0.8 1] [0.9 0] [1 0]]","[[2 1]]","[[2 1]]","[[1 1]]","[[1 3] [3 6] [2 7] [4 4]]","[[1 8] [2 12]]","[[1 17] [3 2] [2 1]]","[[2 41] [4 49] [3 51] [-1 20] [0 10] [1 6]]","[[1 64] [2 23] [3 45] [4 29] [5 16]]","[[1 148] [2 20] [3 8] [4 1]]","[[4 53] [2 48] [-1 20] [3 57] [1 9] [0 10]]","[[3 45] [1 72] [4 29] [2 35] [5 16]]","[[3 10] [1 165] [2 21] [4 1]]","0","1"
"1","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","2","20","0","20","0","[[-1 40] [-0.9 2] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 10] [0.1 89] [0.2 29] [0.3 10] [0.4 7] [0.5 7] [0.6 3] [0.7 0] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 62] [0.2 32] [0.3 32] [0.4 24] [0.5 20] [0.6 6] [0.7 5] [0.8 17] [0.9 0] [1 0]]","[]","[]","[]","[[1 1] [4 5] [2 9] [3 5]]","[[5 6] [2 6] [4 1] [1 7]]","[[1 14] [2 4] [4 2]]","[[-1 12] [2 43] [3 53] [1 11] [4 55] [0 4]]","[[2 31] [1 63] [5 31] [3 37] [4 16]]","[[1 124] [2 32] [4 4] [3 18]]","[[-1 12] [4 60] [1 12] [2 52] [3 58] [0 4]]","[[1 70] [5 37] [3 37] [4 17] [2 37]]","[[1 138] [3 18] [2 36] [4 6]]","1","1"
"4","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","2","21","3","17","9","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 50] [0.1 96] [0.2 18] [0.3 0] [0.4 4] [0.5 4] [0.6 14] [0.7 6] [0.8 0] [0.9 0] [1 6]]","[[0 0] [0.1 71] [0.2 25] [0.3 40] [0.4 20] [0.5 6] [0.6 9] [0.7 14] [0.8 12] [0.9 1] [1 0]]","[[3 1] [2 2]]","[[1 1] [5 1] [3 1]]","[[1 2] [2 1]]","[[2 9] [4 8] [3 3] [-1 1]]","[[3 7] [5 4] [1 10]]","[[2 4] [1 17]]","[[4 44] [0 7] [2 43] [3 49] [1 15] [-1 19]]","[[3 46] [1 74] [5 17] [2 22] [4 18]]","[[3 9] [1 138] [2 23] [4 7]]","[[2 52] [3 52] [-1 20] [4 52] [1 15] [0 7]]","[[1 84] [5 21] [3 53] [4 18] [2 22]]","[[1 155] [4 7] [2 27] [3 9]]","0","1"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","3","19","0","18","2","[[-1 21] [-0.9 0] [-0.8 7] [-0.7 6] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 123] [0.2 16] [0.3 3] [0.4 0] [0.5 4] [0.6 7] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 96] [0.2 10] [0.3 13] [0.4 24] [0.5 18] [0.6 10] [0.7 5] [0.8 20] [0.9 0] [1 0]]","[]","[]","[]","[[3 9] [2 6] [4 4]]","[[3 7] [1 4] [2 8]]","[[2 5] [1 13] [3 1]]","[[3 52] [4 42] [-1 20] [1 16] [2 37] [0 10]]","[[3 37] [1 63] [2 51] [4 17] [5 9]]","[[1 140] [2 20] [3 15] [4 2]]","[[3 61] [2 43] [1 16] [0 10] [4 46] [-1 20]]","[[4 17] [3 44] [1 67] [2 59] [5 9]]","[[2 25] [1 153] [3 16] [4 2]]","0","1"
"2","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","3","20","0","18","2","[[-1 12] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 16] [0.1 128] [0.2 22] [0.3 2] [0.4 1] [0.5 5] [0.6 1] [0.7 7] [0.8 0] [0.9 0] [1 3]]","[[0 0] [0.1 57] [0.2 31] [0.3 38] [0.4 17] [0.5 19] [0.6 10] [0.7 10] [0.8 15] [0.9 0] [1 0]]","[]","[]","[]","[[3 6] [2 7] [1 3] [4 4]]","[[1 8] [2 12]]","[[1 17] [3 2] [2 1]]","[[4 49] [1 6] [0 10] [3 51] [-1 20] [2 41]]","[[2 23] [4 29] [1 64] [5 16] [3 45]]","[[1 148] [2 20] [3 8] [4 1]]","[[3 57] [4 53] [2 48] [1 9] [-1 20] [0 10]]","[[1 72] [3 45] [2 35] [4 29] [5 16]]","[[1 165] [3 10] [2 21] [4 1]]","0","1"
"1","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","3","20","0","29","0","[[-1 41] [-0.9 1] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 10] [0.1 88] [0.2 28] [0.3 10] [0.4 7] [0.5 7] [0.6 3] [0.7 0] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 61] [0.2 27] [0.3 35] [0.4 26] [0.5 20] [0.6 5] [0.7 1] [0.8 21] [0.9 0] [1 0]]","[]","[]","[]","[[2 9] [3 5] [4 5] [1 1]]","[[2 6] [5 6] [1 7] [4 1]]","[[1 14] [2 4] [4 2]]","[[4 54] [2 43] [3 52] [-1 12] [1 11] [0 4]]","[[1 62] [3 37] [2 31] [4 15] [5 31]]","[[2 31] [1 123] [3 18] [4 4]]","[[4 59] [2 52] [3 57] [-1 12] [1 12] [0 4]]","[[1 69] [3 37] [4 16] [5 37] [2 37]]","[[2 35] [3 18] [1 137] [4 6]]","1","1"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","4","19","0","24","2","[[-1 21] [-0.9 0] [-0.8 7] [-0.7 6] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 123] [0.2 16] [0.3 3] [0.4 0] [0.5 4] [0.6 7] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 96] [0.2 10] [0.3 12] [0.4 25] [0.5 17] [0.6 11] [0.7 5] [0.8 9] [0.9 11] [1 0]]","[]","[]","[]","[[3 9] [2 6] [4 4]]","[[1 4] [2 8] [3 7]]","[[1 13] [2 5] [3 1]]","[[4 42] [0 10] [3 52] [-1 20] [2 37] [1 16]]","[[5 9] [2 51] [1 63] [4 17] [3 37]]","[[1 140] [3 15] [2 20] [4 2]]","[[3 61] [-1 20] [2 43] [4 46] [0 10] [1 16]]","[[1 67] [2 59] [3 44] [4 17] [5 9]]","[[2 25] [1 153] [3 16] [4 2]]","0","1"
"4","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","3","22","4","26","13","[[-1 0] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 50] [0.1 96] [0.2 18] [0.3 0] [0.4 4] [0.5 4] [0.6 14] [0.7 6] [0.8 0] [0.9 0] [1 6]]","[[0 0] [0.1 71] [0.2 23] [0.3 35] [0.4 25] [0.5 6] [0.6 9] [0.7 5] [0.8 23] [0.9 1] [1 0]]","[[2 3] [3 1]]","[[5 1] [1 2] [3 1]]","[[1 4]]","[[2 10] [3 3] [4 8] [-1 1]]","[[5 4] [3 8] [1 10]]","[[1 18] [2 4]]","[[3 49] [2 42] [4 44] [0 7] [1 15] [-1 19]]","[[1 74] [4 18] [3 45] [2 22] [5 17]]","[[1 137] [2 23] [3 9] [4 7]]","[[-1 20] [4 52] [3 52] [2 52] [1 15] [0 7]]","[[3 53] [1 84] [2 22] [4 18] [5 21]]","[[1 155] [4 7] [2 27] [3 9]]","0","1"
"3","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","1","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","5","19","1","30","3","[[-1 21] [-0.9 0] [-0.8 7] [-0.7 6] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 9] [0.1 121] [0.2 16] [0.3 3] [0.4 0] [0.5 4] [0.6 7] [0.7 0] [0.8 0] [0.9 0] [1 0]]","[[0 0] [0.1 93] [0.2 11] [0.3 11] [0.4 25] [0.5 18] [0.6 11] [0.7 5] [0.8 1] [0.9 19] [1 0]]","[[3 1]]","[[3 1]]","[[1 1]]","[[4 4] [2 6] [3 9]]","[[2 8] [3 7] [1 4]]","[[2 5] [1 13] [3 1]]","[[4 40] [3 52] [0 10] [-1 20] [1 16] [2 37]]","[[2 51] [3 36] [1 63] [5 8] [4 17]]","[[1 139] [2 20] [3 14] [4 2]]","[[2 43] [3 61] [4 44] [0 10] [-1 20] [1 16]]","[[1 67] [3 43] [4 17] [2 59] [5 8]]","[[1 152] [3 15] [2 25] [4 2]]","0","1"
"1","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","4","20","0","38","0","[[-1 41] [-0.9 1] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 10] [0.1 86] [0.2 30] [0.3 10] [0.4 7] [0.5 7] [0.6 3] [0.7 0] [0.8 0] [0.9 0] [1 1]]","[[0 0] [0.1 61] [0.2 26] [0.3 35] [0.4 27] [0.5 20] [0.6 5] [0.7 1] [0.8 3] [0.9 18] [1 0]]","[]","[]","[]","[[3 5] [2 9] [4 5] [1 1]]","[[2 6] [5 6] [1 7] [4 1]]","[[1 14] [4 2] [2 4]]","[[2 43] [4 54] [1 11] [3 52] [-1 12] [0 4]]","[[3 37] [5 31] [1 62] [4 15] [2 31]]","[[1 123] [2 31] [4 4] [3 18]]","[[3 57] [-1 12] [2 52] [4 59] [1 12] [0 4]]","[[2 37] [3 37] [5 37] [1 69] [4 16]]","[[2 35] [1 137] [3 18] [4 6]]","1","1"
"2","baseline","20","inputs/palermo/data/","0.5","1.5","1.5","0.5","0.5","8","200","none","false","1","13","none","false","36","1","2","4","12","0.005","0.25","10","0.05","1","1","false","1","none","2","1","false","65","4","20","1","24","3","[[-1 12] [-0.9 0] [-0.8 0] [-0.7 0] [-0.6 0] [-0.5 0] [-0.4 0] [-0.3 0] [-0.2 0] [-0.1 16] [0.1 125] [0.2 22] [0.3 2] [0.4 1] [0.5 5] [0.6 1] [0.7 7] [0.8 0] [0.9 0] [1 3]]","[[0 0] [0.1 55] [0.2 31] [0.3 34] [0.4 18] [0.5 19] [0.6 12] [0.7 4] [0.8 21] [0.9 0] [1 0]]","[[2 1]]","[[2 1]]","[[1 1]]","[[4 4] [3 6] [2 7] [1 3]]","[[2 12] [1 8]]","[[3 2] [2 1] [1 17]]","[[-1 20] [3 50] [4 48] [2 40] [0 10] [1 6]]","[[1 63] [3 43] [2 23] [5 16] [4 29]]","[[1 145] [2 20] [3 8] [4 1]]","[[3 56] [2 47] [0 10] [4 52] [-1 20] [1 9]]","[[2 35] [4 29] [1 71] [5 16] [3 43]]","[[1 162] [2 21] [3 10] [4 1]]","0","1"
